AccX [mg],AccY [mg],AccZ [mg],State
384,-1998,-755,1
496,-1559,-244,1
752,-1998,-1029,1
665,-1998,-902,1
714,-1998,-591,1
1042,-1998,-1214,1
664,-1779,-523,1
428,-1477,-367,1
295,-1439,-548,1
261,-1568,-800,1
203,-1442,-694,1
291,-1207,-645,1
316,-1141,-626,1
210,-1104,-544,1
181,-1009,-546,1
173,-854,-522,1
165,-706,-487,1
118,-587,-404,1
60,-446,-292,1
66,-374,-264,1
71,-344,-277,1
59,-354,-278,1
32,-349,-245,1
7,-323,-193,1
0,-300,-154,1
5,-273,-133,1
37,-259,-146,1
64,-253,-141,1
79,-273,-127,1
93,-316,-112,1
118,-387,-102,1
164,-501,-133,1
232,-720,-195,1
340,-1024,-258,1
620,-1491,-476,1
879,-1765,-362,1
722,-1694,-181,1
535,-1607,-463,1
399,-1531,-487,1
434,-1483,-493,1
563,-1435,-356,1
784,-1772,-441,1
861,-1998,-647,1
691,-1998,-670,1
737,-1998,-770,1
943,-1998,-838,1
1068,-1998,-767,1
953,-1998,-867,1
917,-1998,-844,1
961,-1968,-723,1
940,-1998,-699,1
903,-1998,-882,1
750,-1998,-673,1
785,-1905,-558,1
719,-1627,-476,1
602,-1923,-584,1
592,-1998,-707,1
611,-1819,-594,1
458,-1216,-395,1
293,-951,-401,1
193,-886,-473,1
137,-861,-497,1
89,-805,-453,1
67,-668,-334,1
56,-541,-216,1
56,-443,-164,1
49,-363,-159,1
39,-308,-199,1
18,-275,-211,1
-7,-233,-194,1
-32,-197,-169,1
-47,-169,-147,1
-59,-133,-110,1
-70,-92,-55,1
-73,-77,-35,1
-76,-58,-4,1
-70,-82,-38,1
-64,-85,-36,1
-65,-92,-41,1
-52,-108,-68,1
-58,-116,-76,1
-64,-169,-126,1
-114,-230,-162,1
-175,-352,-299,1
-277,-450,-436,1
-459,-816,-609,1
-374,-1989,94,1
1996,-1998,-1631,1
1742,-1998,-1072,1
-31,-1340,-152,1
-158,-947,-128,1
-94,-1001,-395,1
-81,-1199,-624,1
158,-1092,189,1
1996,-1998,-745,1
1470,-1998,-1990,1
