AccX [mg],AccY [mg],AccZ [mg],State
388,-1425,-280,1
862,-1684,-201,1
1059,-1998,-521,1
666,-1998,-691,1
471,-1948,-461,1
521,-1523,-263,1
726,-1669,-323,1
799,-1998,-379,1
821,-1998,-592,1
823,-1998,-714,1
691,-1936,-320,1
566,-1638,-155,1
565,-1560,-368,1
570,-1526,-450,1
387,-1132,-260,1
399,-1344,-299,1
499,-1364,-165,1
514,-1363,-335,1
452,-1166,-267,1
304,-951,-269,1
185,-727,-203,1
133,-563,-166,1
89,-455,-137,1
67,-398,-129,1
92,-394,-157,1
104,-409,-170,1
104,-428,-154,1
107,-444,-163,1
83,-484,-179,1
76,-487,-201,1
76,-492,-196,1
86,-462,-170,1
103,-456,-162,1
132,-498,-169,1
190,-598,-225,1
244,-726,-238,1
305,-960,-273,1
378,-1147,-245,1
428,-1098,-150,1
424,-1056,-230,1
351,-1079,-271,1
354,-1151,-273,1
444,-1317,-290,1
688,-1647,-371,1
922,-1985,-335,1
913,-1998,-333,1
811,-1998,-675,1
724,-1927,-551,1
704,-1754,-282,1
804,-1903,-191,1
1023,-1998,-604,1
847,-1998,-411,1
670,-1833,-330,1
715,-1543,-203,1
809,-1726,-486,1
653,-1963,-513,1
636,-1871,-373,1
644,-1518,-169,1
613,-1257,-287,1
422,-1080,-374,1
293,-935,-319,1
271,-818,-285,1
242,-769,-184,1
267,-794,-188,1
252,-758,-153,1
247,-709,-226,1
197,-617,-208,1
162,-514,-152,1
143,-440,-114,1
121,-412,-117,1
103,-366,-109,1
82,-337,-113,1
59,-329,-112,1
49,-359,-120,1
45,-423,-143,1
49,-504,-153,1
73,-581,-126,1
158,-730,-111,1
303,-979,-141,1
566,-1346,-251,1
756,-1759,-456,1
558,-1553,-346,1
400,-1311,-313,1
345,-1216,-354,1
347,-1231,-315,1
427,-1362,-249,1
587,-1564,-272,1
765,-1660,-492,1
921,-1998,-630,1
801,-1998,-496,1
646,-1770,-376,1
588,-1421,-421,1
472,-1350,-289,1
528,-1627,-379,1
790,-1994,-494,1
882,-1998,-572,1
597,-1677,-378,1
519,-1508,-351,1
533,-1281,-262,1
504,-1261,-278,1
451,-1391,-304,1
404,-1418,-314,1
408,-1270,-297,1
438,-1048,-253,1
366,-904,-201,1
272,-807,-184,1
190,-722,-153,1
148,-634,-145,1
113,-527,-126,1
99,-472,-132,1
92,-399,-133,1
83,-381,-148,1
66,-395,-155,1
54,-382,-158,1
63,-360,-163,1
61,-358,-175,1
58,-412,-202,1
75,-444,-210,1
106,-507,-211,1
136,-577,-190,1
228,-758,-281,1
393,-1017,-327,1
516,-1367,-373,1
542,-1642,-378,1
494,-1510,-397,1
386,-1216,-346,1
349,-1033,-250,1
383,-1089,-248,1
532,-1486,-350,1
778,-1998,-510,1
991,-1998,-465,1
757,-1856,-319,1
749,-1608,-651,1
615,-1484,-345,1
659,-1877,-314,1
947,-1998,-529,1
995,-1998,-660,1
754,-1700,-228,1
619,-1580,-440,1
602,-1509,-391,1
584,-1592,-278,1
621,-1661,-308,1
673,-1530,-390,1
610,-1373,-422,1
454,-1052,-172,1
313,-896,-150,1
259,-845,-236,1
246,-773,-229,1
238,-717,-198,1
232,-673,-173,1
223,-593,-139,1
224,-527,-144,1
195,-484,-159,1
159,-447,-149,1
117,-402,-110,1
91,-382,-105,1
81,-379,-125,1
85,-380,-146,1
95,-381,-151,1
113,-380,-144,1
140,-392,-129,1
175,-478,-114,1
221,-663,-118,1
329,-1026,-201,1
527,-1555,-371,1
696,-1694,-393,1
587,-1307,-271,1
429,-1064,-225,1
349,-1030,-196,1
404,-1360,-297,1
668,-1954,-471,1
923,-1998,-488,1
837,-1911,-318,1
601,-1654,-265,1
565,-1749,-421,1
680,-1887,-511,1
803,-1891,-443,1
798,-1998,-305,1
732,-1998,-317,1
713,-1910,-456,1
733,-1831,-550,1
678,-1698,-413,1
605,-1677,-193,1
597,-1750,-272,1
509,-1410,-288,1
498,-1222,-373,1
390,-1080,-279,1
335,-966,-243,1
336,-1006,-210,1
350,-961,-137,1
336,-897,-140,1
298,-868,-199,1
226,-777,-195,1
180,-674,-196,1
147,-525,-139,1
123,-418,-99,1
100,-330,-67,1
82,-294,-65,1
61,-294,-73,1
38,-291,-74,1
35,-279,-82,1
25,-239,-69,1
28,-244,-85,1
21,-284,-100,1
15,-340,-114,1
43,-402,-143,1
88,-499,-175,1
170,-726,-247,1
437,-1182,-465,1
1068,-1998,-506,1
1142,-1998,-299,1
539,-1756,-396,1
213,-1214,-277,1
161,-952,-261,1
240,-939,-293,1
505,-1313,-478,1
997,-1998,-588,1
1382,-1998,-261,1
768,-1998,-518,1
284,-1684,-251,1
499,-1491,-473,1
810,-1618,-511,1
1144,-1970,-339,1
783,-1998,-387,1
653,-1923,-519,1
530,-1358,-247,1
526,-1315,-311,1
640,-1360,-305,1
628,-1493,-424,1
505,-1284,-270,1
461,-1116,-290,1
464,-987,-273,1
332,-866,-138,1
182,-842,-75,1
216,-790,-230,1
255,-618,-183,1
249,-510,-175,1
228,-443,-178,1
191,-379,-131,1
130,-330,-61,1
76,-353,-56,1
51,-395,-87,1
62,-419,-134,1
82,-389,-120,1
105,-371,-88,1
147,-422,-113,1
202,-488,-151,1
251,-567,-142,1
317,-750,-199,1
421,-1095,-309,1
503,-1300,-208,1
538,-1477,-259,1
519,-1438,-450,1
483,-1177,-309,1
500,-1124,-213,1
555,-1300,-195,1
663,-1700,-421,1
706,-1998,-590,1
753,-1998,-319,1
840,-1863,-386,1
793,-1672,-365,1
663,-1751,-399,1
568,-1779,-365,1
665,-1821,-478,1
712,-1815,-343,1
799,-1884,-309,1
819,-1907,-435,1
711,-1852,-453,1
545,-1659,-311,1
475,-1463,-292,1
486,-1310,-308,1
526,-1291,-274,1
558,-1401,-324,1
487,-1251,-265,1
387,-1071,-233,1
278,-959,-196,1
204,-804,-155,1
181,-652,-121,1
172,-566,-129,1
160,-506,-135,1
153,-483,-131,1
138,-475,-115,1
111,-470,-90,1
104,-460,-85,1
106,-445,-74,1
111,-422,-61,1
115,-428,-57,1
121,-480,-75,1
138,-531,-104,1
187,-593,-139,1
211,-668,-146,1
240,-749,-156,1
293,-837,-176,1
403,-974,-197,1
472,-1148,-205,1
515,-1326,-228,1
499,-1387,-258,1
461,-1311,-262,1
456,-1243,-251,1
517,-1293,-262,1
585,-1463,-247,1
764,-1879,-407,1
900,-1998,-432,1
873,-1998,-412,1
785,-1934,-418,1
746,-1755,-450,1
650,-1642,-270,1
633,-1776,-316,1
743,-1849,-478,1
749,-1806,-364,1
786,-1875,-371,1
724,-1835,-424,1
660,-1729,-389,1
580,-1504,-305,1
474,-1282,-237,1
466,-1229,-322,1
489,-1225,-344,1
438,-1166,-226,1
416,-1072,-200,1
377,-1001,-248,1
297,-852,-236,1
231,-700,-179,1
181,-584,-128,1
167,-533,-123,1
153,-487,-114,1
142,-456,-102,1
143,-432,-97,1
139,-422,-90,1
132,-427,-80,1
129,-454,-84,1
138,-490,-102,1
160,-526,-117,1
193,-556,-121,1
221,-609,-116,1
247,-686,-120,1
273,-792,-143,1
320,-911,-170,1
387,-1039,-217,1
481,-1191,-238,1
543,-1344,-254,1
570,-1482,-302,1
553,-1479,-299,1
538,-1365,-238,1
544,-1369,-259,1
601,-1566,-333,1
686,-1827,-403,1
804,-1998,-392,1
803,-1918,-347,1
686,-1706,-303,1
637,-1674,-340,1
652,-1788,-400,1
701,-1805,-399,1
732,-1819,-357,1
725,-1905,-348,1
709,-1762,-284,1
586,-1463,-294,1
470,-1334,-298,1
431,-1393,-346,1
491,-1494,-368,1
591,-1422,-257,1
557,-1205,-196,1
401,-1068,-205,1
271,-987,-219,1
210,-872,-224,1
194,-718,-187,1
176,-615,-163,1
170,-549,-146,1
144,-517,-124,1
120,-491,-115,1
105,-455,-100,1
87,-400,-77,1
79,-408,-103,1
80,-394,-113,1
72,-396,-123,1
60,-413,-127,1
44,-394,-78,1
45,-382,-45,1
78,-381,-59,1
144,-476,-116,1
231,-692,-206,1
382,-1011,-308,1
486,-1366,-282,1
568,-1394,-220,1
537,-1225,-265,1
447,-1184,-257,1
387,-1139,-165,1
475,-1307,-255,1
601,-1668,-432,1
729,-1838,-477,1
757,-1828,-271,1
809,-1761,-341,1
773,-1833,-437,1
704,-1998,-373,1
763,-1998,-415,1
822,-1915,-471,1
810,-1753,-386,1
715,-1738,-303,1
697,-1859,-391,1
723,-1899,-445,1
754,-1905,-392,1
747,-1748,-373,1
710,-1643,-400,1
608,-1484,-339,1
467,-1308,-238,1
388,-1153,-280,1
355,-1031,-257,1
333,-910,-220,1
318,-834,-206,1
290,-760,-170,1
260,-702,-183,1
195,-575,-149,1
184,-597,-174,1
158,-568,-151,1
153,-568,-186,1
137,-508,-148,1
129,-457,-107,1
130,-412,-111,1
132,-384,-123,1
116,-366,-110,1
116,-378,-124,1
106,-401,-131,1
107,-433,-120,1
140,-499,-137,1
186,-586,-154,1
254,-720,-172,1
361,-929,-222,1
518,-1329,-297,1
629,-1697,-298,1
680,-1773,-316,1
636,-1463,-328,1
505,-1252,-296,1
457,-1291,-294,1
521,-1538,-320,1
716,-1910,-375,1
926,-1998,-388,1
830,-1998,-376,1
705,-1830,-387,1
654,-1684,-355,1
659,-1735,-379,1
735,-1931,-373,1
798,-1998,-386,1
793,-1890,-352,1
695,-1675,-340,1
601,-1654,-363,1
568,-1603,-356,1
560,-1476,-292,1
538,-1332,-255,1
445,-1179,-226,1
371,-1151,-256,1
366,-1124,-312,1
339,-974,-195,1
308,-893,-174,1
268,-854,-194,1
214,-779,-178,1
180,-689,-155,1
158,-611,-136,1
143,-541,-144,1
125,-487,-136,1
108,-459,-120,1
81,-457,-116,1
63,-450,-104,1
58,-411,-79,1
63,-395,-78,1
87,-407,-100,1
115,-446,-128,1
139,-523,-151,1
197,-620,-164,1
267,-764,-177,1
368,-998,-221,1
507,-1263,-327,1
551,-1385,-329,1
471,-1200,-174,1
437,-1058,-188,1
446,-1132,-278,1
509,-1404,-363,1
640,-1787,-379,1
817,-1998,-395,1
918,-1973,-493,1
782,-1738,-385,1
675,-1751,-352,1
671,-1896,-425,1
738,-1997,-475,1
846,-1998,-465,1
926,-1985,-434,1
896,-1990,-514,1
739,-1943,-386,1
662,-1834,-371,1
635,-1686,-397,1
645,-1468,-370,1
578,-1328,-282,1
557,-1368,-297,1
510,-1316,-314,1
438,-1158,-244,1
373,-1019,-239,1
323,-894,-222,1
273,-808,-208,1
247,-698,-174,1
224,-581,-137,1
191,-531,-127,1
156,-482,-116,1
128,-459,-124,1
107,-436,-147,1
93,-409,-157,1
77,-378,-148,1
66,-359,-145,1
62,-345,-146,1
57,-339,-136,1
63,-357,-140,1
80,-391,-161,1
106,-451,-187,1
154,-576,-219,1
237,-766,-255,1
372,-1091,-298,1
594,-1558,-367,1
787,-1900,-423,1
711,-1726,-416,1
556,-1436,-361,1
460,-1265,-322,1
433,-1200,-318,1
469,-1317,-312,1
602,-1618,-327,1
801,-1998,-383,1
900,-1998,-446,1
731,-1843,-404,1
615,-1632,-343,1
622,-1656,-337,1
696,-1804,-361,1
748,-1926,-375,1
767,-1998,-390,1
769,-1946,-420,1
715,-1774,-362,1
617,-1605,-305,1
525,-1441,-315,1
436,-1271,-235,1
393,-1136,-226,1
375,-1046,-231,1
366,-1046,-245,1
374,-1093,-273,1
353,-1010,-223,1
296,-869,-166,1
222,-719,-139,1
155,-589,-124,1
117,-526,-127,1
90,-484,-123,1
78,-458,-121,1
70,-429,-117,1
62,-402,-115,1
59,-373,-108,1
42,-353,-94,1
26,-329,-82,1
24,-312,-80,1
29,-337,-87,1
47,-376,-92,1
93,-445,-124,1
194,-609,-201,1
323,-884,-246,1
528,-1370,-278,1
756,-1894,-333,1
731,-1776,-488,1
483,-1269,-323,1
375,-1012,-166,1
357,-1017,-163,1
440,-1287,-316,1
625,-1736,-494,1
816,-1998,-448,1
922,-1984,-434,1
815,-1854,-495,1
597,-1652,-332,1
590,-1714,-346,1
728,-1897,-463,1
887,-1998,-596,1
873,-1998,-474,1
787,-1884,-469,1
691,-1702,-428,1
621,-1592,-325,1
615,-1641,-353,1
635,-1643,-450,1
579,-1411,-443,1
511,-1286,-284,1
453,-1184,-207,1
463,-1116,-307,1
393,-976,-244,1
323,-880,-183,1
275,-800,-163,1
246,-718,-159,1
227,-643,-157,1
211,-578,-150,1
193,-520,-131,1
174,-453,-90,1
151,-413,-66,1
124,-402,-78,1
114,-393,-101,1
104,-394,-116,1
91,-404,-116,1
87,-425,-122,1
91,-461,-132,1
103,-517,-149,1
137,-608,-174,1
213,-787,-215,1
349,-1028,-284,1
524,-1369,-311,1
675,-1730,-429,1
671,-1684,-500,1
518,-1333,-452,1
412,-1123,-406,1
355,-1084,-368,1
398,-1303,-427,1
590,-1735,-456,1
856,-1998,-484,1
944,-1998,-525,1
746,-1758,-489,1
593,-1540,-444,1
543,-1593,-417,1
632,-1786,-463,1
733,-1939,-382,1
778,-1899,-367,1
682,-1636,-343,1
587,-1493,-347,1
518,-1457,-374,1
461,-1405,-317,1
450,-1336,-270,1
458,-1303,-251,1
486,-1293,-235,1
487,-1212,-251,1
409,-1109,-250,1
309,-981,-240,1
234,-856,-203,1
193,-735,-157,1
166,-644,-121,1
158,-580,-109,1
154,-541,-111,1
141,-523,-118,1
125,-520,-125,1
106,-503,-120,1
95,-471,-118,1
83,-433,-108,1
75,-403,-101,1
64,-396,-96,1
73,-421,-104,1
95,-466,-112,1
138,-523,-128,1
205,-598,-149,1
297,-748,-206,1
407,-1024,-278,1
439,-1280,-243,1
482,-1417,-319,1
497,-1252,-348,1
451,-982,-226,1
417,-927,-183,1
442,-1142,-241,1
556,-1617,-362,1
817,-1998,-623,1
978,-1998,-555,1
858,-1853,-492,1
723,-1633,-499,1
665,-1696,-432,1
735,-1998,-425,1
898,-1998,-583,1
910,-1998,-630,1
871,-1913,-640,1
619,-1621,-387,1
632,-1658,-392,1
636,-1603,-419,1
601,-1547,-330,1
594,-1664,-436,1
572,-1476,-426,1
527,-1294,-389,1
463,-1048,-232,1
396,-900,-170,1
307,-796,-149,1
263,-759,-174,1
242,-699,-176,1
229,-656,-172,1
219,-611,-162,1
206,-551,-130,1
205,-520,-128,1
193,-490,-119,1
168,-469,-108,1
140,-444,-105,1
120,-434,-105,1
102,-441,-103,1
104,-472,-131,1
115,-518,-172,1
134,-576,-192,1
174,-671,-215,1
234,-809,-217,1
334,-1017,-251,1
465,-1339,-335,1
530,-1487,-422,1
503,-1394,-435,1
442,-1239,-414,1
402,-1132,-389,1
392,-1127,-402,1
400,-1246,-434,1
462,-1453,-467,1
622,-1780,-501,1
834,-1998,-490,1
768,-1842,-440,1
650,-1686,-507,1
586,-1623,-457,1
591,-1647,-416,1
674,-1769,-395,1
719,-1986,-409,1
790,-1980,-407,1
733,-1787,-381,1
624,-1614,-404,1
504,-1480,-356,1
434,-1432,-292,1
477,-1419,-283,1
525,-1322,-234,1
496,-1211,-267,1
376,-1040,-238,1
281,-951,-220,1
230,-889,-211,1
208,-800,-185,1
190,-666,-124,1
169,-567,-103,1
137,-506,-114,1
99,-457,-100,1
77,-472,-122,1
58,-479,-123,1
55,-466,-126,1
61,-429,-117,1
77,-394,-115,1
100,-398,-129,1
107,-444,-145,1
100,-497,-136,1
124,-556,-137,1
163,-623,-162,1
243,-726,-232,1
337,-882,-330,1
406,-1116,-357,1
425,-1274,-270,1
481,-1312,-242,1
559,-1361,-430,1
559,-1429,-465,1
520,-1390,-347,1
467,-1275,-300,1
433,-1269,-396,1
467,-1428,-497,1
634,-1652,-531,1
885,-1940,-616,1
866,-1998,-567,1
697,-1998,-436,1
753,-1982,-586,1
846,-1976,-700,1
766,-1992,-531,1
699,-1934,-373,1
763,-1842,-531,1
664,-1483,-399,1
576,-1504,-312,1
599,-1742,-412,1
748,-1881,-584,1
686,-1545,-342,1
545,-1221,-185,1
434,-1089,-277,1
332,-953,-294,1
271,-739,-240,1
237,-643,-162,1
226,-621,-148,1
222,-591,-107,1
243,-604,-192,1
223,-595,-193,1
198,-540,-148,1
164,-475,-119,1
154,-500,-176,1
131,-484,-177,1
117,-459,-165,1
109,-468,-170,1
111,-461,-173,1
104,-479,-164,1
107,-551,-192,1
112,-653,-221,1
144,-767,-261,1
215,-881,-290,1
334,-1099,-323,1
508,-1430,-400,1
639,-1636,-451,1
624,-1543,-465,1
478,-1355,-474,1
371,-1190,-460,1
383,-1152,-436,1
430,-1256,-362,1
505,-1426,-304,1
730,-1892,-658,1
813,-1951,-556,1
697,-1842,-264,1
623,-1696,-386,1
603,-1708,-510,1
755,-1981,-518,1
893,-1998,-313,1
942,-1998,-489,1
608,-1808,-356,1
430,-1574,-304,1
501,-1480,-343,1
646,-1556,-423,1
754,-1622,-394,1
584,-1643,-206,1
455,-1543,-327,1
402,-1295,-360,1
341,-1058,-277,1
280,-894,-217,1
241,-796,-216,1
213,-760,-204,1
192,-772,-207,1
185,-767,-234,1
168,-663,-195,1
145,-568,-175,1
106,-501,-160,1
61,-461,-154,1
22,-422,-153,1
0,-387,-162,1
0,-361,-178,1
8,-350,-201,1
28,-376,-229,1
61,-440,-268,1
107,-543,-314,1
150,-646,-333,1
189,-698,-317,1
213,-714,-276,1
253,-721,-290,1
274,-795,-346,1
260,-891,-394,1
251,-944,-394,1
280,-950,-325,1
377,-1129,-297,1
561,-1583,-341,1
863,-1998,-587,1
989,-1998,-603,1
765,-1866,-471,1
487,-1570,-247,1
471,-1473,-250,1
664,-1559,-379,1
976,-1969,-534,1
1039,-1998,-612,1
898,-1998,-514,1
976,-1998,-499,1
889,-1996,-407,1
824,-1834,-563,1
675,-1684,-518,1
538,-1448,-363,1
530,-1385,-317,1
535,-1513,-391,1
506,-1494,-433,1
484,-1310,-367,1
447,-1101,-297,1
399,-877,-284,1
313,-761,-284,1
231,-725,-298,1
172,-714,-306,1
135,-693,-291,1
132,-645,-275,1
126,-559,-216,1
116,-494,-170,1
99,-478,-182,1
74,-487,-238,1
61,-486,-277,1
46,-453,-276,1
31,-414,-266,1
19,-386,-257,1
14,-393,-245,1
23,-444,-236,1
67,-518,-238,1
148,-621,-240,1
303,-822,-305,1
462,-1197,-438,1
555,-1670,-531,1
530,-1752,-407,1
448,-1340,-243,1
420,-1121,-232,1
457,-1164,-316,1
485,-1313,-368,1
512,-1423,-329,1
585,-1618,-347,1
693,-1965,-422,1
799,-1998,-420,1
801,-1998,-373,1
760,-1755,-375,1
688,-1581,-358,1
614,-1728,-386,1
614,-1951,-357,1
638,-1852,-291,1
654,-1631,-323,1
613,-1498,-295,1
578,-1577,-322,1
577,-1545,-292,1
525,-1385,-303,1
369,-1222,-240,1
316,-1109,-264,1
293,-981,-194,1
312,-909,-195,1
343,-903,-232,1
327,-930,-285,1
273,-922,-281,1
171,-854,-202,1
115,-719,-177,1
98,-560,-169,1
72,-444,-161,1
50,-418,-196,1
25,-442,-236,1
8,-475,-239,1
-7,-499,-244,1
-3,-491,-214,1
42,-501,-214,1
125,-579,-273,1
232,-744,-372,1
341,-932,-447,1
352,-1042,-404,1
239,-866,-280,1
138,-672,-260,1
85,-549,-283,1
65,-502,-316,1
96,-542,-380,1
160,-701,-457,1
293,-1081,-569,1
786,-1998,-744,1
1224,-1998,-465,1
872,-1998,-680,1
657,-1998,-809,1
425,-1589,-544,1
439,-1427,-312,1
720,-1619,-461,1
873,-1820,-541,1
932,-1998,-629,1
581,-1929,-249,1
481,-1643,-273,1
679,-1526,-510,1
781,-1383,-439,1
704,-1298,-354,1
476,-1216,-248,1
358,-1207,-256,1
386,-1167,-280,1
450,-1089,-178,1
526,-1058,-177,1
493,-1039,-302,1
405,-959,-320,1
311,-804,-282,1
232,-622,-190,1
179,-494,-125,1
137,-444,-133,1
112,-434,-165,1
103,-438,-206,1
98,-428,-223,1
87,-424,-203,1
93,-472,-183,1
135,-575,-152,1
221,-707,-131,1
313,-858,-192,1
399,-1059,-389,1
459,-1232,-517,1
407,-1331,-451,1
333,-1207,-366,1
259,-906,-236,1
201,-765,-250,1
164,-768,-350,1
149,-868,-431,1
170,-1035,-448,1
296,-1355,-422,1
565,-1583,-197,1
877,-1807,-454,1
