AccX [mg],AccY [mg],AccZ [mg],State
-114,138,995,0
77,167,901,0
457,-20,1358,0
87,29,984,0
-88,106,855,0
-39,125,923,0
-143,207,1059,0
11,291,1207,0
114,165,1242,0
-91,143,828,0
-200,149,920,0
-302,213,1156,0
-105,194,1077,0
174,23,1102,0
69,-58,923,0
-54,2,978,0
-68,49,968,0
152,105,1035,0
213,-23,1089,0
-23,-77,953,0
-95,-63,962,0
-49,12,952,0
-51,46,1134,0
-5,-3,1222,0
-23,-71,1097,0
-46,-67,866,0
-81,-46,955,0
-109,18,1243,0
-84,-9,1192,0
-22,-177,798,0
73,-132,770,0
-5,-75,933,0
-124,-15,1096,0
-37,46,1233,0
79,-16,1068,0
73,-91,830,0
8,-108,821,0
-80,-35,982,0
-34,107,1173,0
58,81,1143,0
4,17,960,0
-55,-66,944,0
-81,18,1090,0
-80,102,1222,0
-40,34,1123,0
9,-28,1104,0
-78,-71,959,0
-107,-78,956,0
-102,3,1148,0
-38,-60,1106,0
-78,-37,1040,0
-47,-106,1010,0
-86,-156,1033,0
-99,-155,1023,0
-121,-178,979,0
-112,-159,955,0
-102,-110,1086,0
-112,-155,1094,0
-130,-301,833,0
-95,-356,784,0
-127,-251,914,0
-91,-128,1067,0
-72,-140,1045,0
6,-274,944,0
-30,-280,961,0
-137,-208,936,0
0,-162,1110,0
-12,-167,1070,0
8,-293,919,0
72,-407,792,0
35,-321,878,0
-37,-124,1108,0
47,-108,1159,0
124,-295,988,0
53,-324,845,0
3,-217,920,0
59,-114,1229,0
102,-109,1115,0
123,-216,963,0
65,-225,898,0
60,-187,955,0
90,-117,1222,0
121,-194,1044,0
169,-236,911,0
122,-222,966,0
46,-157,1019,0
54,-87,1124,0
108,-141,1058,0
102,-199,972,0
106,-154,996,0
83,-119,1081,0
46,-113,1022,0
37,-149,984,0
52,-153,931,0
43,-124,962,0
-7,-69,981,0
-12,-8,1021,0
44,-56,915,0
11,-52,923,0
-6,-20,948,0
-21,-9,915,0
46,4,952,0
124,84,1152,0
47,101,1045,0
77,-3,908,0
95,12,903,0
106,141,1041,0
82,222,1169,0
18,185,1052,0
-9,114,925,0
15,91,996,0
47,118,1150,0
-26,125,1135,0
-84,50,1020,0
0,0,1042,0
60,5,1161,0
20,0,1106,0
18,-47,977,0
16,-90,966,0
2,-55,977,0
7,-5,1014,0
-8,15,1038,0
58,-52,977,0
34,-66,909,0
39,-57,976,0
5,-12,1007,0
-2,14,1091,0
-32,34,1067,0
2,-22,1018,0
-4,-60,965,0
45,-98,960,0
11,-67,977,0
-13,-64,977,0
22,-67,999,0
0,-50,975,0
22,-69,996,0
-16,-42,1016,0
-6,-67,965,0
48,-113,989,0
50,-135,999,0
90,-172,1034,0
62,-157,1018,0
6,-131,1044,0
18,-191,989,0
26,-199,1023,0
43,-145,1165,0
35,-131,1188,0
3,-183,1089,0
29,-175,1102,0
40,-129,1218,0
45,-105,1192,0
77,-124,1176,0
51,-145,1045,0
-19,-125,1007,0
-50,-96,1050,0
30,-72,1141,0
57,-69,1137,0
21,-22,1109,0
14,-48,1056,0
-2,-75,992,0
-7,0,1102,0
-49,39,1077,0
-8,15,1060,0
41,1,1113,0
-21,11,1083,0
-35,-4,1001,0
-3,74,1136,0
-76,125,1167,0
-70,139,1094,0
-1,90,1109,0
-47,92,1008,0
-32,82,1051,0
-114,126,1034,0
-151,180,997,0
-90,136,1052,0
-65,129,1037,0
-135,129,1000,0
-205,151,986,0
-126,114,1012,0
-60,112,1088,0
-158,127,1036,0
-219,88,941,0
-207,111,975,0
-45,129,1181,0
-69,85,1098,0
-117,68,979,0
-157,37,953,0
-209,91,1005,0
-218,160,1096,0
-155,76,1002,0
-110,69,999,0
-126,72,992,0
-228,63,871,0
-236,36,857,0
-184,77,948,0
-167,42,945,0
-237,26,863,0
-258,-49,765,0
-208,-78,838,0
-179,-55,892,0
-184,-18,946,0
-208,-6,997,0
-217,-22,959,0
-206,-48,975,0
-245,-103,871,0
-229,-167,776,0
-237,-187,842,0
-264,-165,878,0
-317,-159,846,0
-291,-167,826,0
-200,-216,817,0
-179,-262,780,0
-254,-245,721,0
-384,-251,671,0
-381,-248,719,0
-331,-267,710,0
-259,-257,683,0
-264,-205,837,0
-346,-242,827,0
-405,-269,683,0
-418,-235,746,0
-304,-240,884,0
-246,-340,751,0
-314,-394,729,0
-287,-322,803,0
-296,-245,882,0
-277,-265,809,0
-223,-324,775,0
-102,-351,873,0
-76,-306,954,0
-169,-264,928,0
-275,-226,872,0
-254,-280,824,0
-191,-246,804,0
-95,-261,990,0
