AccX [mg],AccY [mg],AccZ [mg],State
795,-1925,-729,1
676,-1954,-669,1
446,-1502,-345,1
386,-1159,-279,1
320,-988,-255,1
285,-1042,-421,1
325,-1260,-502,1
429,-1724,-555,1
830,-1998,-275,1
1007,-1860,-433,1
684,-1649,-664,1
404,-1517,-560,1
316,-1479,-380,1
510,-1450,-384,1
733,-1434,-287,1
856,-1793,-431,1
701,-1998,-433,1
630,-1998,-489,1
640,-1544,-540,1
520,-1137,-371,1
418,-1115,-248,1
455,-1469,-274,1
628,-1788,-256,1
729,-1661,-432,1
554,-1355,-462,1
314,-1053,-307,1
199,-872,-215,1
174,-816,-216,1
226,-786,-236,1
291,-704,-198,1
310,-604,-143,1
258,-587,-108,1
195,-655,-137,1
146,-731,-165,1
121,-737,-196,1
126,-649,-190,1
133,-522,-170,1
147,-467,-183,1
151,-442,-176,1
140,-432,-156,1
122,-409,-137,1
120,-389,-135,1
121,-398,-164,1
118,-424,-188,1
104,-455,-186,1
102,-488,-161,1
134,-557,-152,1
219,-715,-201,1
391,-976,-313,1
689,-1424,-350,1
854,-1998,-453,1
697,-1998,-537,1
457,-1542,-441,1
365,-1106,-367,1
340,-952,-299,1
380,-922,-218,1
469,-1138,-245,1
619,-1576,-351,1
798,-1998,-473,1
932,-1998,-576,1
755,-1904,-435,1
561,-1478,-360,1
449,-1250,-293,1
472,-1206,-244,1
567,-1328,-226,1
691,-1627,-379,1
706,-1788,-386,1
598,-1663,-354,1
540,-1467,-339,1
544,-1352,-304,1
571,-1279,-261,1
540,-1194,-257,1
450,-1031,-219,1
350,-935,-216,1
298,-923,-222,1
297,-950,-235,1
312,-922,-215,1
324,-825,-146,1
337,-740,-143,1
329,-700,-170,1
287,-691,-188,1
245,-671,-175,1
203,-639,-147,1
184,-582,-129,1
175,-533,-128,1
177,-544,-147,1
189,-571,-155,1
206,-591,-169,1
211,-585,-157,1
197,-633,-109,1
217,-764,-100,1
317,-948,-192,1
436,-1087,-295,1
476,-1182,-311,1
478,-1276,-296,1
525,-1369,-321,1
534,-1382,-355,1
409,-1185,-250,1
310,-969,-158,1
282,-963,-178,1
347,-1190,-299,1
532,-1541,-381,1
821,-1802,-304,1
844,-1893,-429,1
664,-1827,-506,1
549,-1698,-434,1
493,-1495,-272,1
492,-1332,-253,1
