AccX [mg],AccY [mg],AccZ [mg],State
-288,3,-366,0
-219,-367,-553,0
-52,-1471,-1504,0
-403,-1088,-1701,0
-654,-762,141,0
455,-1704,562,0
948,-1332,-129,0
759,-506,-701,0
384,-989,-881,0
-77,-942,-133,0
-135,-864,151,0
-124,-566,5,0
261,-208,-127,0
201,-238,-246,0
178,-325,-349,0
23,-274,-152,0
28,-356,-234,0
-73,-343,-168,0
-88,-134,51,0
-45,14,223,0
-10,0,98,0
23,-100,-55,0
50,-235,-115,0
64,-285,-134,0
94,-377,-128,0
142,-1002,-503,0
-115,-1787,-32,0
1546,-1998,-1777,0
1837,-1998,-309,0
291,-1201,-230,0
-88,-758,-199,0
11,-566,-242,0
10,-549,-295,0
24,-554,-122,0
170,-941,-171,0
859,-1998,-1329,0
1211,-1998,-518,0
802,-1207,-532,0
286,-996,-582,0
17,-718,-306,0
-82,-549,-212,0
6,-515,-335,0
225,-735,-386,0
1007,-1813,-584,0
1996,-1998,-1115,0
831,-1998,-1316,0
426,-1130,-603,0
274,-759,-349,0
147,-689,-237,0
211,-638,-259,0
218,-624,-231,0
147,-603,-190,0
106,-592,-262,0
59,-520,-217,0
49,-466,-206,0
49,-437,-236,0
68,-523,-277,0
143,-608,-340,0
251,-661,-300,0
289,-552,-224,0
222,-453,-191,0
135,-354,-151,0
75,-255,-118,0
40,-224,-121,0
21,-186,-96,0
6,-173,-78,0
-2,-187,-83,0
-6,-178,-33,0
-15,-109,30,0
-13,-65,18,0
4,3,39,0
-48,-91,29,0
18,-191,-136,0
42,-915,-131,0
56,-65,301,0
345,-280,-428,0
1189,-168,-1143,0
338,29,766,0
26,-1998,141,0
416,-1998,-1997,0
61,-935,-507,0
91,109,793,0
1996,481,-110,0
1996,1376,-1992,0
457,-45,-1889,0
-278,-181,-1677,0
-345,-251,-880,0
-515,-230,-343,0
-405,-296,-359,0
-392,-368,-284,0
-325,-730,-548,0
-562,-892,-393,0
-320,-848,-311,0
200,-918,-767,0
-533,-1250,-1271,0
-336,-860,-1107,0
-428,-843,-891,0
-220,-520,-340,0
-185,-318,-118,0
-300,-325,-75,0
-267,-456,-203,0
-236,-623,-357,0
-340,-910,-427,0
-519,-944,115,0
-701,-1188,852,0
-412,-1998,-818,0
-1082,-1981,-348,0
-378,-1090,-1876,0
-297,-887,-1664,0
-212,-447,-1164,0
-184,-194,-774,0
-79,-55,-531,0
9,-139,-401,0
144,-243,-356,0
208,-492,-345,0
145,-1015,-348,0
476,-1782,-432,0
1613,-1998,-1001,0
1231,-1998,-1062,0
735,-793,-16,0
312,-523,192,0
150,-792,-165,0
69,-1349,-572,0
268,-1593,-918,0
530,-1409,-700,0
774,-1584,-338,0
694,-1525,-386,0
436,-1208,-603,0
221,-1008,-658,0
138,-977,-812,0
88,-701,-709,0
-25,-583,-427,0
16,-721,-353,0
285,-1063,-703,0
391,-1210,-1189,0
177,-868,-1059,0
-34,-506,-753,0
-142,-628,-828,0
-147,-847,-1134,0
-194,-758,-1144,0
