AccX [mg],AccY [mg],AccZ [mg],State
1,-45,993,0
7,-54,1029,0
8,-52,1012,0
3,-48,1026,0
3,-52,1016,0
7,-51,1010,0
7,-53,1022,0
6,-46,1012,0
6,-49,1028,0
3,-54,1013,0
6,-48,1013,0
7,-50,1017,0
6,-52,1022,0
3,-50,1014,0
4,-51,1018,0
7,-52,1011,0
4,-47,1021,0
8,-48,1013,0
5,-53,1021,0
3,-52,1016,0
4,-46,1014,0
5,-47,1015,0
6,-48,1016,0
5,-53,1016,0
5,-51,1016,0
1,-48,1013,0
6,-49,1018,0
8,-50,1018,0
5,-50,1017,0
2,-49,1014,0
3,-47,1016,0
5,-50,1019,0
7,-43,1000,0
6,-49,1050,0
0,-65,999,0
6,-51,1026,0
8,-40,1006,0
9,-43,1016,0
0,-54,1018,0
1,-53,1022,0
6,-50,1010,0
8,-47,1018,0
6,-47,1013,0
5,-55,1021,0
4,-51,1018,0
6,-45,1009,0
6,-47,1018,0
5,-51,1020,0
4,-51,1020,0
5,-50,1014,0
5,-48,1014,0
3,-47,1017,0
8,-50,1018,0
6,-51,1016,0
2,-51,1018,0
5,-50,1016,0
3,-52,1017,0
5,-48,1016,0
4,-47,1014,0
3,-49,1016,0
2,-54,1016,0
5,-53,1020,0
7,-49,1018,0
5,-48,1017,0
3,-51,1016,0
4,-50,1017,0
4,-47,1020,0
4,-48,1016,0
2,-51,1023,0
2,-55,997,0
4,-49,1030,0
9,-46,1017,0
10,-46,1010,0
0,-54,1014,0
3,-53,1018,0
4,-52,1016,0
5,-48,1016,0
5,-48,1015,0
5,-49,1019,0
4,-51,1018,0
4,-49,1016,0
4,-50,1019,0
6,-50,1022,0
5,-51,1016,0
3,-50,1017,0
4,-52,1015,0
6,-51,1017,0
4,-48,1016,0
2,-48,1018,0
2,-48,1018,0
4,-50,1016,0
5,-50,1017,0
6,-49,1016,0
5,-50,1016,0
3,-52,1018,0
3,-51,1019,0
3,-48,1018,0
5,-46,1017,0
3,-48,1017,0
4,-52,1017,0
4,-52,1013,0
4,-50,1018,0
5,-48,1015,0
5,-50,1019,0
3,-52,1015,0
3,-51,1016,0
4,-48,1015,0
6,-47,1016,0
3,-51,1017,0
4,-52,1019,0
3,-51,1014,0
5,-51,1016,0
6,-49,1016,0
2,-50,1017,0
4,-49,1017,0
3,-49,1017,0
4,-52,1016,0
6,-51,1018,0
5,-49,1016,0
2,-49,1017,0
3,-52,1019,0
3,-51,1018,0
4,-48,1016,0
5,-47,1015,0
2,-50,1015,0
3,-52,1018,0
6,-50,1017,0
6,-48,1018,0
5,-49,1019,0
1,-51,1017,0
3,-51,1018,0
5,-50,1016,0
6,-48,1016,0
4,-50,1019,0
3,-51,1019,0
3,-51,1015,0
4,-48,1017,0
4,-47,1016,0
4,-49,1016,0
3,-52,1018,0
2,-51,1018,0
5,-49,1017,0
4,-48,1015,0
3,-49,1017,0
2,-52,1017,0
0,-50,1017,0
5,-48,1018,0
5,-48,1016,0
4,-49,1016,0
3,-50,1016,0
3,-52,1016,0
5,-48,1013,0
3,-47,1018,0
2,-49,1018,0
3,-51,1015,0
4,-53,1016,0
7,-49,1014,0
5,-50,1019,0
5,-51,1017,0
5,-53,1015,0
4,-51,1017,0
4,-50,1016,0
4,-47,1017,0
3,-48,1020,0
2,-50,1012,0
3,-51,1016,0
7,-50,1019,0
3,-49,1019,0
1,-53,1020,0
3,-52,1019,0
5,-48,1014,0
4,-49,1018,0
5,-49,1022,0
2,-51,1020,0
2,-50,1013,0
2,-46,1020,0
3,-49,1019,0
4,-50,1015,0
5,-52,1021,0
4,-52,1014,0
3,-52,1018,0
3,-53,1025,0
3,-48,1012,0
5,-48,1018,0
1,-50,1017,0
2,-52,1015,0
3,-49,1018,0
6,-44,1016,0
3,-51,1018,0
3,-52,1016,0
5,-50,1017,0
6,-47,1016,0
5,-49,1018,0
1,-48,1017,0
0,-48,1015,0
3,-47,1016,0
6,-46,1017,0
4,-50,1020,0
4,-51,1020,0
2,-49,1019,0
4,-49,1016,0
7,-49,1020,0
5,-50,1023,0
4,-50,1016,0
3,-49,1020,0
2,-47,1011,0
4,-48,1017,0
3,-48,1019,0
3,-49,1017,0
2,-52,1017,0
5,-51,1015,0
7,-52,1018,0
4,-51,1020,0
0,-48,1018,0
2,-50,1016,0
1,-49,1020,0
2,-48,1017,0
3,-49,1020,0
4,-49,1016,0
5,-50,1016,0
5,-51,1016,0
4,-50,1018,0
4,-49,1017,0
4,-50,1015,0
4,-49,1017,0
2,-48,1017,0
2,-50,1018,0
6,-49,1015,0
4,-51,1013,0
5,-51,1023,0
2,-51,1019,0
4,-48,1018,0
2,-45,1018,0
3,-45,1016,0
0,-50,1016,0
1,-50,1020,0
7,-50,1018,0
9,-48,1019,0
7,-52,1016,0
3,-53,1015,0
3,-49,1018,0
3,-46,1017,0
4,-46,1017,0
0,-48,1017,0
3,-49,1015,0
5,-48,1016,0
6,-51,1017,0
5,-50,1018,0
4,-51,1017,0
3,-51,1016,0
4,-49,1017,0
2,-48,1016,0
5,-48,1020,0
2,-50,1017,0
2,-50,1019,0
4,-50,1017,0
5,-49,1016,0
5,-50,1018,0
4,-48,1015,0
3,-51,1015,0
2,-50,1017,0
3,-49,1014,0
5,-47,1017,0
3,-48,1016,0
2,-51,1017,0
1,-52,1017,0
5,-50,1016,0
4,-49,1016,0
4,-49,1017,0
2,-51,1019,0
2,-50,1018,0
3,-49,1017,0
4,-48,1016,0
3,-48,1018,0
3,-51,1018,0
3,-52,1016,0
5,-49,1019,0
5,-48,1019,0
4,-49,1017,0
2,-50,1018,0
3,-48,1019,0
4,-48,1018,0
6,-48,1015,0
4,-49,1018,0
2,-50,1018,0
3,-51,1017,0
5,-51,1018,0
5,-49,1015,0
4,-51,1015,0
0,-50,1019,0
3,-49,1016,0
1,-47,1017,0
4,-49,1016,0
3,-50,1017,0
3,-54,1020,0
2,-50,1017,0
6,-48,1017,0
4,-48,1016,0
2,-48,1018,0
3,-50,1017,0
1,-50,1017,0
3,-48,1018,0
4,-51,1018,0
4,-50,1015,0
4,-50,1017,0
4,-52,1019,0
3,-50,1019,0
3,-48,1019,0
2,-50,1017,0
4,-50,1015,0
3,-51,1015,0
5,-50,1018,0
6,-49,1015,0
4,-50,1019,0
3,-50,1017,0
3,-50,1017,0
4,-49,1017,0
3,-48,1018,0
3,-49,1018,0
2,-50,1018,0
5,-49,1020,0
4,-50,1014,0
4,-49,1018,0
5,-50,1015,0
3,-51,1016,0
3,-50,1018,0
1,-48,1018,0
5,-48,1018,0
4,-49,1017,0
2,-49,1017,0
2,-50,1018,0
4,-49,1017,0
6,-48,1019,0
2,-51,1017,0
1,-50,1018,0
2,-51,1016,0
3,-49,1018,0
2,-47,1018,0
3,-49,1016,0
3,-50,1018,0
4,-51,1016,0
5,-50,1018,0
3,-50,1018,0
4,-49,1018,0
4,-50,1018,0
2,-48,1016,0
4,-47,1019,0
5,-49,1017,0
5,-48,1016,0
2,-50,1017,0
3,-50,1019,0
5,-49,1018,0
5,-47,1016,0
2,-49,1016,0
2,-51,1020,0
2,-51,1018,0
4,-47,1018,0
5,-49,1018,0
3,-48,1018,0
4,-50,1018,0
4,-50,1015,0
4,-48,1016,0
4,-49,1017,0
4,-49,1015,0
3,-50,1017,0
4,-50,1018,0
4,-50,1017,0
4,-49,1018,0
4,-50,1018,0
3,-49,1016,0
2,-51,1018,0
5,-48,1016,0
5,-49,1018,0
3,-49,1017,0
1,-48,1018,0
2,-51,1016,0
6,-50,1016,0
5,-49,1018,0
3,-48,1017,0
3,-49,1014,0
3,-50,1019,0
5,-50,1017,0
4,-48,1018,0
2,-50,1016,0
3,-49,1016,0
4,-49,1015,0
4,-48,1015,0
5,-49,1018,0
4,-50,1018,0
5,-50,1017,0
3,-50,1016,0
5,-50,1017,0
6,-49,1016,0
3,-50,1016,0
2,-50,1018,0
4,-50,1017,0
3,-48,1017,0
4,-50,1017,0
4,-50,1016,0
2,-50,1015,0
3,-50,1016,0
2,-51,1017,0
5,-48,1021,0
4,-48,1018,0
3,-48,1018,0
3,-51,1018,0
4,-50,1019,0
6,-49,1021,0
4,-50,1017,0
1,-50,1017,0
2,-49,1017,0
5,-49,1019,0
4,-49,1017,0
3,-48,1017,0
3,-52,1016,0
2,-50,1016,0
5,-49,1019,0
4,-47,1018,0
2,-50,1015,0
2,-49,1017,0
1,-49,1018,0
4,-49,1017,0
5,-48,1017,0
6,-50,1017,0
2,-51,1017,0
3,-51,1017,0
6,-48,1016,0
2,-49,1016,0
4,-49,1017,0
1,-50,1018,0
3,-50,1016,0
6,-48,1018,0
5,-50,1017,0
3,-49,1016,0
3,-50,1016,0
5,-49,1019,0
5,-48,1018,0
4,-48,1017,0
5,-49,1019,0
3,-51,1019,0
4,-50,1019,0
3,-49,1019,0
4,-50,1017,0
4,-48,1017,0
3,-49,1018,0
3,-50,1017,0
5,-52,1017,0
4,-49,1019,0
3,-49,1017,0
2,-49,1016,0
3,-48,1017,0
5,-51,1018,0
5,-48,1018,0
2,-48,1017,0
3,-50,1017,0
3,-51,1016,0
5,-51,1016,0
3,-49,1017,0
2,-48,1016,0
4,-49,1017,0
3,-51,1016,0
4,-49,1020,0
4,-49,1017,0
6,-49,1017,0
3,-50,1015,0
3,-49,1017,0
5,-50,1018,0
4,-50,1019,0
3,-47,1017,0
3,-51,1017,0
4,-49,1018,0
3,-48,1017,0
4,-48,1017,0
5,-50,1017,0
5,-49,1017,0
3,-48,1018,0
5,-48,1016,0
5,-49,1018,0
2,-50,1016,0
3,-49,1017,0
4,-49,1017,0
5,-48,1018,0
3,-50,1019,0
2,-49,1017,0
2,-49,1018,0
4,-51,1014,0
6,-49,1012,0
7,-51,1017,0
1,-50,1017,0
0,-50,1018,0
3,-49,1017,0
4,-48,1016,0
4,-49,1015,0
3,-49,1017,0
3,-51,1016,0
3,-50,1018,0
5,-49,1019,0
3,-49,1018,0
4,-48,1016,0
2,-48,1014,0
3,-49,1017,0
4,-48,1018,0
5,-48,1016,0
0,-38,1039,0
1,-50,1014,0
4,-53,1004,0
6,-50,1012,0
5,-49,1015,0
5,-48,1016,0
1,-52,1016,0
6,-50,1015,0
7,-49,1019,0
4,-49,1017,0
1,-48,1015,0
1,-48,1015,0
2,-47,1017,0
3,-47,1017,0
4,-48,1019,0
4,-51,1017,0
3,-51,1017,0
