AccX [mg],AccY [mg],AccZ [mg],State
96,-374,-406,0
122,-573,-680,0
146,-499,-542,0
-874,-1998,445,0
879,-1719,-176,0
1512,-787,-1212,0
414,-177,-187,0
137,-144,-19,0
-104,-117,268,0
-156,-176,289,0
-134,-242,159,0
-196,-164,207,0
-186,-400,-110,0
1388,-1998,-1997,0
894,-1998,-241,0
278,-834,694,0
406,-1762,-1093,0
398,-1998,-1334,0
289,-1556,206,0
450,-751,-378,0
489,-959,-823,0
463,-1190,-789,0
109,-1431,544,0
400,-993,-303,0
302,-679,-759,0
179,-521,-631,0
135,-29,-98,0
167,53,-24,0
186,28,-36,0
201,61,17,0
214,-144,10,0
444,-1998,-1436,0
1351,-1998,-1997,0
1180,-1123,-554,0
391,-414,100,0
276,-323,-42,0
26,-192,54,0
10,-178,-47,0
-8,-187,-58,0
-27,-116,48,0
-64,-316,-32,0
-128,-449,-41,0
-140,-550,-64,0
64,-520,-31,0
244,-506,238,0
1336,-1340,-12,0
986,-1998,-836,0
251,-1998,-572,0
24,-1683,-246,0
422,-1702,-400,0
1164,-1595,-427,0
1103,-1798,-260,0
673,-1998,-652,0
403,-1998,-582,0
482,-1966,-545,0
1238,-1853,-691,0
922,-1419,-171,0
365,-1342,-379,0
260,-1293,-531,0
353,-1018,-627,0
397,-753,-316,0
668,-980,-50,0
597,-1429,-404,0
603,-1470,-572,0
491,-1283,-422,0
428,-933,-1,0
359,-732,-117,0
238,-506,-186,0
170,-364,-255,0
114,-225,-210,0
39,-127,-91,0
-51,-180,4,0
-139,-371,57,0
-139,-436,-59,0
-37,-506,-305,0
12,-687,-360,0
70,-1719,-645,0
943,-1998,-668,0
1904,-1998,197,0
856,-1789,-1239,0
350,-1998,-1083,0
178,-1998,-308,0
1213,-1998,-65,0
1715,-1998,-1350,0
1074,-1998,-814,0
738,-1998,-617,0
959,-1998,-867,0
1299,-1777,-522,0
796,-1998,-153,0
455,-1998,-973,0
496,-1480,-798,0
665,-888,123,0
854,-1105,-326,0
367,-943,-154,0
367,-1228,-593,0
232,-831,-112,0
213,-764,-208,0
424,-704,67,0
364,-773,-124,0
511,-956,-470,0
