T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
156689, 457, -45, -1889, 34370, -956270, -115430
156709, -278, -181, -1677, 278110, -1434440, 26880
156729, -345, -251, -880, 327180, -1643880, -68950
156749, -515, -230, -343, 296100, -1260210, -62370
156769, -405, -296, -359, 178150, -685230, -64680
156789, -392, -368, -284, 140840, -449120, -94850
156809, -325, -730, -548, 35630, -238420, -107940
156829, -562, -892, -393, -103040, 27440, -235550
156849, -320, -848, -311, -162890, 433510, -582890
156869, 200, -918, -767, -129360, -238070, -686770
156889, -533, -1250, -1271, 42490, -866950, -224420
156909, -336, -860, -1107, 87640, -807520, -99540
156929, -428, -843, -891, 153860, -612430, -112700
156949, -220, -520, -340, 274120, -417550, -104440
156969, -185, -318, -118, 292880, -309470, -93100
156989, -300, -325, -75, 166670, -203140, -123620
157009, -267, -456, -203, 16730, -171430, -127750
157029, -236, -623, -357, -29890, -187600, -95130
157049, -340, -910, -427, 74200, -140000, -66010
157069, -519, -944, 115, 285250, -75320, -156590
157089, -701, -1188, 852, 332360, -201180, -347550
157109, -412, -1998, -818, 64750, -807100, -434560
157129, -1082, -1981, -348, 304990, -1557710, -189630
157149, -378, -1090, -1876, 600460, -2046940, -381850
157169, -297, -887, -1664, 236530, -2284450, -579880
157189, -212, -447, -1164, 307440, -2100280, -538160
157209, -184, -194, -774, 513310, -1724240, -576030
157229, -79, -55, -531, 563150, -1439620, -609700
157249, 9, -139, -401, 483070, -1234730, -590870
157269, 144, -243, -356, 364700, -1079120, -500990
157289, 208, -492, -345, 259630, -947310, -377650
157309, 145, -1015, -348, 212310, -815150, -221900
157329, 476, -1782, -432, 175980, -648760, -191240
157349, 1613, -1998, -1001, 53060, -415590, -438830
157369, 1231, -1998, -1062, -96320, -201110, -591640
157389, 735, -793, -16, 22050, 49420, -385350
157409, 312, -523, 192, 252490, 291550, -167790
157429, 150, -792, -165, 105070, 184170, 216650
157449, 69, -1349, -572, -234010, 29190, 443030
157469, 268, -1593, -918, -459760, 91140, 330680
157489, 530, -1409, -700, -440790, 432390, -80010
157509, 774, -1584, -338, -145600, 881720, -402780
157529, 694, -1525, -386, 52290, 1035580, -231630
157549, 436, -1208, -603, -100450, 885220, 140420
157569, 221, -1008, -658, -356440, 732480, 349300
157589, 138, -977, -812, -441770, 988890, 299110
157609, 88, -701, -709, -347410, 1222830, 195580
157629, -25, -583, -427, -255150, 1369410, 258720
157649, 16, -721, -353, -406700, 1346380, 357140
157669, 285, -1063, -703, -736120, 1214430, 373240
157689, 391, -1210, -1189, -958160, 1140090, 334670
157709, 177, -868, -1059, -840980, 1288210, 329140
157729, -34, -506, -753, -604870, 1494780, 428820
157749, -142, -628, -828, -595560, 1522360, 605920
157769, -147, -847, -1134, -772170, 1452360, 680260
157789, -194, -758, -1144, -840490, 1516410, 555660
157809, -259, -533, -972, -742490, 1682170, 416640
157829, -273, -460, -830, -665350, 1777580, 401100
157849, -228, -442, -827, -727580, 1741180, 460460
157869, -170, -522, -932, -873460, 1634220, 505540
157889, -135, -539, -1026, -991130, 1541610, 502530
157909, -127, -480, -1022, -998130, 1531880, 455490
157929, -144, -284, -848, -887460, 1581440, 449680
