T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1771, -251, -342, 960, -54460, -1400, 8120
1791, -199, -374, 1147, -66220, 27440, 27860
1811, -216, -348, 942, -39410, 140, 24220
1831, -203, -425, 882, -36820, -34090, 5180
1851, -152, -270, 1149, -7140, -21630, -14700
1871, -273, -231, 1295, -14280, -12460, -26670
1891, -325, -252, 1143, -34230, -35350, 7490
1911, -63, -556, 641, -58100, -53830, 24220
1931, -92, -559, 859, -52780, 18900, 210
1951, -274, -176, 1522, 8400, 83580, 420
1971, -376, -85, 1223, 32830, 44310, 12810
1991, -196, -374, 458, -40600, -45360, 1050
2011, 100, -485, 592, -76580, -84280, -10150
2031, 148, -477, 813, -19810, -94010, -24920
2051, 69, -488, 732, -6300, -7210, -30520
2071, 37, -319, 968, -9800, 43610, -14630
2091, 0, -149, 968, -19250, -16520, 3430
2111, 193, -464, 510, -12740, -164710, -14630
2131, 213, -322, 791, -4130, -126980, -22260
2151, 312, -369, 899, -34160, -27230, -52360
2171, 290, -313, 727, -38080, -35630, -24150
2191, 310, -536, 518, -24570, -70980, 12810
2211, 437, -357, 992, -31220, -80500, 9380
2231, 483, -435, 697, -62300, -95130, -14280
2251, 439, -409, 1113, -15190, -92120, 490
2271, 549, -613, 673, -35910, -37660, -37590
2291, 271, -465, 774, -51940, -22120, -26670
2311, 215, -500, 580, -44730, -39410, -26110
2331, 231, -623, 122, -29890, -66010, -16940
2351, 582, -794, 482, -2240, -78820, -70
2371, 479, -757, 639, 79030, -60760, 10780
2391, 402, -825, 387, 126140, -23940, 12250
2411, 496, -234, 1209, 129710, 2800, 10710
2431, 302, 152, 1203, 108220, -23310, 7560
2451, 247, -104, 693, -50260, -52360, 18620
2471, 412, -482, 624, -94220, -100520, 30100
2491, 611, -691, 541, -59640, -49770, -700
2511, 315, -455, 569, -55860, -10500, -490
2531, 568, -497, 420, -65310, -32550, 28490
2551, 363, -656, 223, -39060, -46060, 35560
2571, 327, -321, 195, 99820, -117530, 46620
2591, 148, 147, 996, 445060, -204050, 43470
2611, 686, -477, 283, 612500, -174580, -11340
2631, 703, 157, 1108, 184030, -5810, -82040
2651, 638, 23, 935, -47320, 8680, 5530
2671, 432, -152, 655, -65940, -57680, 93030
2691, 434, -459, 598, -56140, -139720, 95830
2711, 696, -367, 317, -15890, -151480, 50470
2731, 918, -265, 835, 5390, -119070, 8680
2751, 678, -247, 702, 5460, -34720, 4550
2771, 479, -54, 743, 5740, -1120, 42700
2791, 511, -237, 538, 40810, -19530, 80920
2811, 573, -451, 373, -3570, -700, -45430
2831, 330, -712, 7, 18550, 108080, 9800
2851, 449, -837, 160, 117460, 249340, 166180
2871, 220, -563, 114, 386540, -12460, 331380
2891, -27, -404, 115, 348110, -302470, 484120
2911, -80, -328, 24, 161630, -422100, 438480
2931, -106, -293, -6, 17570, -468580, 326270
2951, -76, -249, -64, -78400, -474250, 198450
2971, -63, -202, -67, -143430, -464170, 75600
2991, -31, -181, -93, -171570, -451360, -12950
3011, 12, -256, -163, -159180, -446880, -61040
3031, 90, -403, -226, -101360, -439530, -77350
3051, 205, -653, -248, -4200, -406630, -87850
3071, 747, -1574, -902, 95690, -359520, -95410
3091, 1511, -1998, -1695, 254660, -308910, -64260
3111, 1730, -1998, -680, 504210, -176820, -109900
3131, 778, -1371, -695, 320460, -332500, -227360
3151, 339, -1064, -541, 271110, -680540, 230230
3171, -28, -871, -141, 559580, -644140, 442400
3191, -149, -894, 8, 676550, -524160, 293720
3211, 38, -1377, -358, 445480, -508410, -38010
3231, 1552, -1998, -1659, 114310, -491120, -436170
3251, 1993, -1998, -421, 56910, -357840, -743260
3271, 387, -1997, -573, 443800, -272720, -357350
3291, 57, -1346, -362, 459130, -541870, 148050
3311, 92, -932, -248, 422380, -475930, -104020
3331, 404, -835, -92, 326200, -355110, -489230
3351, 917, -1940, -740, 178570, -382830, -611310
3371, 1135, -1998, -977, 29820, -553350, -412300
3391, 819, -1998, -574, 140980, -546910, -211610
3411, 646, -1370, -381, 236320, -439460, -336070
3431, 311, -842, -91, 160720, -449610, -444990
3451, 195, -787, -216, 125510, -537600, -291900
3471, 193, -863, -323, 23590, -655620, -148050
3491, 236, -992, -403, -40180, -687400, -106120
3511, 334, -1061, -409, -22610, -635530, -139580
3531, 409, -789, -212, 125790, -399840, -308490
3551, 377, -666, -159, 150150, -386190, -229810
3571, 264, -627, -136, 143430, -454090, -39900
3591, 165, -664, -142, 122570, -515550, 103950
3611, 130, -696, -221, 87850, -539350, 140840
3631, 133, -613, -195, 64960, -517300, 93310
3651, 109, -564, -214, 62370, -451850, 910
3671, 119, -454, -144, 84350, -366100, -81340
3691, 129, -391, -88, 106890, -290080, -133910
3711, 134, -408, -56, 91420, -253190, -141680
3731, 152, -461, -82, 44590, -250950, -111510
3751, 168, -516, -151, -10080, -250950, -87500
3771, 166, -614, -226, -40740, -220010, -86100
3791, 204, -596, -176, -12670, -132860, -126280
3811, 254, -588, -89, 41510, -26040, -179480
3831, 300, -700, -40, 55720, 24430, -167790
