T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
4052, -427, -884, -164, 92750, 595700, -35910
4072, -681, -1261, -324, 141470, 561960, 74410
4092, -1151, -1998, -548, 15400, 652400, 147560
4112, -1488, -1998, -659, -25690, 724430, 110810
4132, -1530, -1998, -724, 158760, 674730, -49560
4152, -815, -1523, -465, 252770, 776160, -354270
4172, -458, -983, -380, 411180, 874720, -351540
4192, -731, -1326, -553, 329350, 838180, 47810
4212, -1507, -1998, -937, 263970, 853440, 267820
4232, -1726, -1998, -1242, 472500, 797090, 151690
4252, -953, -1573, -802, 1101380, 515690, -139090
4272, -691, -1345, -408, 1230950, 439740, -142030
4292, -813, -1480, -550, 680120, 733600, 51030
4312, -818, -1519, -593, 324800, 871500, 262500
4332, -666, -1305, -429, 446880, 675640, 439740
4352, -758, -1369, -406, 578130, 505750, 584360
4372, -994, -1797, -508, 433930, 593740, 628600
4392, -1323, -1998, -627, 249830, 695030, 634690
4412, -1998, -1998, -914, 297920, 553840, 739970
4432, -1981, -1998, -829, 264600, 506310, 738360
4452, -886, -1998, -380, 103250, 767480, 233800
4472, -1263, -1998, -557, 50820, 838320, 123620
4492, -1998, -1998, -1074, -301140, 855190, 579460
4512, -1998, -1998, -961, -467530, 826070, 660450
4532, -1841, -1998, -652, -24220, 634480, 228690
4552, -1998, -1998, -1089, 33950, 753620, -112770
4572, -1998, -1998, -1255, -172690, 893970, -95130
4592, -1998, -1998, -879, -167790, 847140, -98980
4612, -1998, -1998, -833, -163450, 890750, -282310
4632, -1998, -1998, -1654, 90230, 606480, -108570
4652, -1998, -1998, -1328, 139580, 602560, -296730
4672, -1998, -1998, -1638, 157500, 762230, -699580
4692, -1998, -1998, -1997, 135310, 645610, -336840
4712, -1998, -1998, -1997, 362390, 475580, -332920
4732, -1998, -1998, -1997, 488600, 518210, -627760
4752, -1998, -1998, -1997, 506100, 514500, -509950
4772, -1998, -1998, -1997, 587930, 475790, -270830
4792, -1998, -1998, -1997, 858270, 467810, -298550
4812, -1998, -1998, -1997, 894950, 584150, -188720
4832, -1998, -1998, -1997, 923650, 556990, 188930
4852, -1998, -1998, -1997, 1034460, 488670, 300020
4872, -1998, -1998, -1997, 915390, 446950, 420630
4892, -1998, -1998, -1997, 637560, 127330, 702660
4912, -1998, -1998, -1997, 435750, 88900, 601650
4932, -1998, -1998, -1997, 333760, -83510, 760900
4952, -1998, -1998, -1997, 358540, -217560, 699300
4972, -1998, -1998, -1997, 233380, -299390, 668500
4992, -1998, -1998, -1997, 301980, -546560, 681100
5012, -1998, -1998, -1997, 317520, -719670, 536970
5032, -1998, -1998, -1997, 374360, -964950, 439810
5052, -1998, -1998, -1997, 458990, -1113140, 156590
5072, -1998, -1998, -1997, 517510, -1142680, -67060
5092, -1998, -1998, -1997, 602700, -990430, -356160
5112, -1998, -1998, -1997, 654500, -713860, -468230
5132, -1998, -1998, -1997, 764820, -372680, -530040
5152, -1998, -1998, -1997, 928410, -55580, -424480
5172, -1998, -1998, -1997, 1127350, 228200, -270690
