T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
9019, 284, -992, -187, 24010, 79730, 131390
9039, 293, -1014, -183, -12110, 85610, 69650
9059, 351, -963, -202, -60410, 94430, -19530
9079, 399, -899, -234, -87430, 96040, -63770
9099, 407, -896, -253, -65100, 92050, -27230
9119, 388, -984, -247, -6790, 92470, 54180
9139, 360, -1111, -202, 42280, 102200, 108220
9159, 334, -1116, -138, 40460, 107870, 95200
9179, 343, -992, -164, -29960, 89670, 26810
9199, 358, -871, -235, -118230, 53760, -31990
9219, 343, -806, -266, -132230, 40600, -31570
9239, 317, -807, -238, -66780, 61320, 11270
9259, 317, -907, -196, 18200, 97020, 53480
9279, 341, -1047, -146, 62440, 119910, 68180
9299, 350, -1086, -122, 37730, 111440, 48160
9319, 364, -965, -207, -50960, 66920, 4760
9339, 355, -854, -261, -136430, 19390, -29400
9359, 328, -802, -260, -132370, 13160, -20720
9379, 315, -830, -242, -57050, 41510, 16030
9399, 316, -910, -198, 27720, 79660, 47110
9419, 307, -992, -115, 78260, 107520, 53760
9439, 304, -969, -106, 62370, 102620, 32550
9459, 335, -864, -175, -27580, 60690, -17570
9479, 350, -806, -232, -122570, 13020, -59850
9499, 349, -849, -282, -138320, -10920, -40950
9519, 346, -933, -284, -77910, -1820, 14420
9539, 329, -1026, -221, 17290, 38780, 52150
9559, 303, -1062, -126, 96670, 85400, 50120
9579, 330, -943, -116, 102270, 102270, 1750
9599, 347, -819, -168, 16730, 70490, -73850
9619, 327, -761, -200, -74060, 12950, -101220
9639, 309, -762, -221, -93380, -29190, -57260
9659, 303, -801, -231, -59290, -43540, 5880
9679, 292, -889, -215, 65240, -6440, 66080
9699, 293, -963, -187, 101080, 18270, 42910
9719, 314, -976, -147, 90300, 30380, -15470
9739, 344, -956, -133, 39830, 13230, -70350
9759, 381, -937, -187, -25690, -33810, -84980
9779, 399, -910, -245, -61670, -76790, -59150
9799, 370, -884, -259, -34790, -93030, 630
9819, 307, -834, -210, 38150, -80430, 61600
9839, 251, -780, -151, 94920, -59080, 84490
9859, 236, -780, -127, 101220, -49070, 66570
9879, 274, -904, -188, 67410, -54180, 27230
9899, 362, -1065, -230, 26950, -53970, -28980
9919, 479, -1231, -225, 8400, -38640, -88270
9939, 580, -1297, -235, -4200, -40880, -108780
9959, 539, -1164, -333, -40460, -88830, -65590
9979, 394, -970, -301, -31150, -129780, 32060
9999, 263, -817, -199, 58800, -109340, 114240
10019, 198, -745, -108, 130690, -64260, 123130
10039, 189, -754, -78, 124810, -38430, 70980
10059, 232, -782, -115, 53760, -40880, -9310
10079, 304, -794, -173, -41020, -57820, -89180
10099, 371, -822, -233, -101640, -68110, -130970
10119, 425, -883, -296, -99610, -68180, -108500
10139, 431, -967, -296, -34440, -51940, -34370
10159, 392, -1102, -247, 69090, -18550, 56980
10179, 332, -1183, -136, 150850, 17150, 112420
10199, 284, -989, -50, 145950, 33390, 80920
10219, 304, -803, -154, 25550, 1610, -21070
10239, 326, -723, -264, -132790, -63980, -98910
10259, 330, -692, -301, -188300, -89880, -101010
10279, 310, -692, -268, -112490, -55090, -48020
10299, 282, -789, -195, 29330, 8890, 25270
10319, 270, -953, -94, 148610, 66150, 82390
10339, 292, -1080, -54, 178710, 93940, 86940
10359, 344, -979, -130, 89670, 70140, 25760
10379, 377, -826, -248, -191240, -46760, -111440
10399, 367, -757, -293, -179480, -50610, -69020
10419, 329, -735, -288, -72450, -12040, 12740
10439, 292, -751, -238, 61110, 48580, 82250
10459, 272, -853, -187, 152040, 102410, 110670
10479, 262, -999, -67, 162050, 130410, 83930
10499, 313, -1078, -34, 65730, 108780, 4830
10519, 446, -1123, -232, -115290, 32270, -88900
10539, 563, -1156, -409, -230300, -24150, -125860
10559, 531, -1077, -386, -164080, 1610, -69930
10579, 421, -974, -248, 2240, 69650, 40880
10599, 320, -966, -158, 117950, 110320, 135660
10619, 248, -940, -95, 117180, 104230, 158130
10639, 218, -847, -93, 32130, 78750, 96460
10659, 249, -767, -142, -85960, 49140, -3360
10679, 338, -845, -248, -173740, 30940, -79450
10699, 478, -993, -371, -186620, 37170, -102480
10719, 558, -1115, -383, -100100, 77070, -63420
10739, 455, -1206, -163, 58590, 134540, 42560
10759, 366, -1245, -108, 143360, 148260, 143990
10779, 328, -1114, -178, 54600, 87360, 141610
10799, 308, -925, -220, -85120, 24570, 52290
10819, 314, -764, -232, -151130, 14910, -37730
10839, 318, -697, -223, -137060, 38640, -74690
10859, 323, -734, -219, -69650, 64190, -44590
10879, 337, -847, -201, 12740, 78960, 24990
10899, 354, -1023, -168, 75530, 88900, 86800
10919, 338, -1215, -133, 89390, 86030, 111720
10939, 390, -1218, -232, 32690, 55930, 80290
10959, 447, -1055, -294, -76860, 17640, -19180
10979, 425, -899, -263, -127540, 13930, -103460
10999, 339, -723, -180, -73500, 32830, -83650
11019, 264, -665, -141, 6650, 40180, 3290
11039, 221, -745, -150, 53270, 23730, 96250
11059, 223, -874, -149, 66430, 3290, 150430
11079, 265, -978, -149, 6930, 14840, 34580
11099, 350, -1059, -211, -52080, 22260, -69790
11119, 437, -1086, -273, -87010, 26740, -139510
11139, 523, -1021, -317, -73710, 29680, -142030
11159, 463, -899, -236, 10850, 38220, -48580
11179, 324, -835, -144, 95130, 26040, 93380
11199, 234, -810, -106, 107100, -6510, 173880
11219, 194, -806, -107, 56070, -37940, 158410
11239, 191, -839, -174, -16100, -53830, 76440
11259, 268, -904, -266, -75390, -40390, -42560
11279, 391, -945, -275, -70980, 11200, -152250
11299, 524, -998, -234, -7630, 55370, -183120
11319, 504, -1118, -193, 58450, 44310, -97720
11339, 428, -1075, -163, 70980, -11550, 23940
11359, 336, -1006, -197, 35280, -76370, 87640
11379, 285, -925, -184, 6440, -115010, 94150
11399, 266, -828, -208, -13160, -116550, 50120
11419, 235, -715, -181, -20510, -98840, -10710
11439, 208, -658, -146, -1820, -73920, -52570
11459, 236, -648, -146, 14700, -56070, -78190
11479, 299, -698, -189, 16240, -45290, -97580
11499, 342, -760, -196, 26880, -42770, -83020
11519, 335, -858, -160, 68530, -44240, -25760
11539, 342, -1029, -163, 100310, -57680, 39270
11559, 383, -1172, -203, 78610, -80780, 53410
11579, 416, -1237, -289, 21560, -104230, 11900
11599, 431, -1079, -295, -26250, -114800, -53550
11619, 389, -856, -211, -21070, -87710, -111300
11639, 326, -771, -162, 29120, -61180, -98630
11659, 298, -774, -161, 71190, -68040, -28210
11679, 288, -813, -160, 80360, -87710, 31570
11699, 267, -870, -152, 74830, -97650, 53480
11719, 274, -910, -157, 59430, -102130, 43330
11739, 348, -956, -233, 20160, -101640, -7560
11759, 427, -1017, -300, -33390, -99190, -76860
11779, 449, -1045, -276, -37870, -83230, -109760
11799, 430, -1007, -201, 82670, -24570, -42630
11819, 373, -963, -148, 95900, -38150, 12810
11839, 324, -943, -162, 59920, -77490, 48860
11859, 311, -898, -195, 9030, -105770, 43190
11879, 302, -898, -224, -12180, -105210, 17850
11899, 302, -919, -222, -1260, -79030, -14910
11919, 340, -924, -222, 10780, -41300, -66080
11939, 385, -915, -209, 26110, -11620, -100590
11959, 412, -940, -173, 45640, -5740, -82810
11979, 410, -967, -208, 44380, -30870, -23520
11999, 332, -907, -159, 31010, -67480, 41090
12019, 277, -872, -174, 25620, -87010, 75390
12039, 271, -863, -230, -3780, -97580, 56490
12059, 296, -878, -243, -8260, -70840, 140
12079, 318, -883, -188, 30310, -17430, -56980
12099, 363, -912, -163, 63070, 18410, -89040
12119, 404, -942, -137, 52710, 13720, -87290
12139, 420, -995, -210, 13930, -27930, -45920
12159, 389, -978, -259, -23100, -81060, 15890
