T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
6974, 556, -437, 1055, -60340, -167090, 67830
6994, 498, -260, 1184, -46200, -210140, 60130
7014, 462, -205, 811, -57190, -147490, 38920
7034, 520, -689, 476, -71890, -120260, 60130
7054, 811, -989, 567, -46760, -108430, 66920
7074, 804, -834, 770, -4830, -89530, 38710
7094, 719, -581, 861, 25410, -123340, 66150
7114, 503, -332, 899, 34370, -121730, 59850
7134, 372, -524, 444, 16310, -91630, 46480
7154, 715, -840, 470, -26390, -19390, 56910
7174, 836, -802, 646, -12390, 69930, 6580
7194, 705, -908, 552, 25340, 29960, 7280
7214, 686, -536, 1007, 87290, -44520, 20580
7234, 449, -517, 567, 71190, -75670, 22470
7254, 642, -657, 457, 1120, -57750, 13160
7274, 813, -842, 569, 27720, 16030, -15400
7294, 742, -534, 851, 57120, 89880, -26600
7314, 438, -546, 685, 63280, 43680, 14140
7334, 342, -457, 497, 30240, -5530, 49910
7354, 446, -676, 552, 76090, 700, -17780
7374, 778, -532, 968, 157430, 39970, -55440
7394, 612, -426, 551, 98700, 60620, -30660
7414, 364, -373, 708, -6020, 43960, 24150
7434, 261, -338, 555, 20440, 980, 48720
7454, 245, -499, 400, 11410, -6090, 20580
7474, 146, -539, 439, -5600, 18340, -1680
7494, 82, -794, 391, 140, 11060, 5460
7514, -28, -715, 431, 5040, -25130, 29120
7534, 210, -442, 412, -5390, -32480, 59080
7554, -227, -1998, -709, -7350, 80080, 56000
7574, 246, -1003, 331, 231980, 143150, 41580
7594, 296, -290, 39, 595420, 6370, -284760
7614, 180, -207, -139, 200690, -260400, -451430
7634, 70, -281, -198, -56840, -519400, -227710
7654, 12, -299, -167, 134120, -630770, 207480
7674, -10, -270, -127, 295820, -603260, 246960
7694, -32, -206, -69, 401380, -560350, 199780
7714, -49, -153, -34, 421470, -533820, 121940
7734, -44, -113, -19, 371560, -519890, 38780
7754, -31, -90, -30, 279230, -513170, -28350
7774, -9, -107, -59, 177100, -503720, -69720
7794, 13, -162, -103, 97440, -492520, -78960
7814, 40, -300, -165, 62510, -475930, -66080
7834, 134, -655, -365, 76440, -450170, -54320
7854, 696, -1998, -1638, 158270, -388570, -91210
7874, 1995, -1998, -1061, 492940, -137970, -255780
7894, 287, -1980, -619, 651140, -106960, -309680
7914, -45, -1072, -564, 181090, -867790, 353080
7934, -135, -581, -254, 241990, -785400, 144830
7954, -157, -547, -329, 233240, -578900, -206570
7974, -76, -427, -243, 166600, -420560, -507710
7994, 207, -626, -194, 135100, -261940, -751660
8014, 1783, -1998, -1644, 107660, -207830, -805210
8034, 1995, -1998, 441, 192080, -184520, -636720
8054, 467, -1998, -724, 552020, -116690, -101430
8074, 124, -1238, -475, 75670, -637070, 192430
8094, 96, -763, -260, -67620, -603050, -124110
8114, 135, -607, -27, -6510, -377300, -416360
8134, 360, -878, -170, -17290, -263620, -549640
8154, 1031, -1515, -595, -141050, -256130, -573440
8174, 1404, -1998, -1038, -198590, -229740, -479360
8194, 924, -1998, 75, 54880, -106750, -155260
8214, 530, -1686, -154, 308490, 56280, 40250
8234, 359, -1286, -447, -21350, -156590, 46830
8254, 306, -962, -364, -349440, -336000, -8050
8274, 293, -674, -218, -335090, -216090, -146090
8294, 256, -571, -142, -221760, -35980, -252490
