T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
179342, 176, -354, 934, 17360, 17500, 5110
179362, 139, -345, 910, 12950, 18900, 7770
179382, 98, -275, 913, 18760, 20230, 6090
179402, 224, -250, 949, 30380, 19880, 5810
179422, 99, -269, 921, 24080, 18480, 8960
179442, 58, -292, 929, 10990, 14420, 11690
179462, 60, -252, 940, 10220, 6790, 6160
179482, 22, -129, 843, 14700, -5670, -11270
179502, 100, -66, 663, 5530, -13720, -19040
179522, -43, -93, 779, -5600, -7350, 1470
179542, -52, -160, 741, 37800, 840, 52850
179562, -70, -239, 442, -9030, 30800, 43750
179582, -295, -117, 1045, -62090, -420, 73220
179602, -26, -193, 744, -50050, -22260, 86030
179622, -43, -616, 724, -105910, -56630, 51310
179642, 139, -511, 1073, -168350, -45640, 36120
179662, 173, -477, 1194, -155960, -31220, -8260
179682, 596, -664, 321, -167860, -59360, -46550
179702, 315, -851, 383, -212870, -85610, -65170
179722, 406, -735, 1026, -149310, -16940, -2100
179742, 289, -658, 1059, -22750, 29050, 17150
179762, 212, -434, 919, -18690, 47740, -7910
179782, 108, -296, 730, -58730, 38920, -36470
179802, 174, -229, 452, -84070, 20440, -36400
179822, 46, -417, 491, -98210, 21700, -29050
179842, -100, -296, 449, -86450, 88270, 246050
179862, -175, -307, 264, -348810, 82880, 353640
179882, -117, -381, 28, -682990, 163590, 259350
179902, -93, -943, -319, -881930, 243600, 21770
179922, 183, -1722, -1032, -840700, 336350, -308840
179942, 1434, -1990, -552, -282100, 638470, -608860
179962, 896, -1904, 510, 405300, 775740, -260960
179982, 194, -1933, -1012, -204680, -112210, 412860
180002, 87, -1224, -654, -333340, -325360, 376670
180022, 22, -570, -203, 23030, 58170, -76510
180042, 75, -162, 96, 234710, 278810, -332430
180062, 88, -25, 237, 238070, 230020, -312270
180082, 105, -145, 97, 114380, 20930, -144130
180102, 52, -232, 27, -46480, -179480, 15540
180122, 63, -367, -86, -167300, -279930, 93380
180142, 118, -683, -240, -250250, -315000, 92820
180162, 398, -1422, -812, -252210, -299320, 47740
180182, 1018, -1998, -1083, -99470, -171220, -79100
180202, 1657, -1998, 515, 345240, 160790, -261100
180222, 1271, -1998, -1351, 235760, 78960, -403550
180242, 259, -1038, -163, -193620, -400470, -97300
180262, 75, -617, -15, 208320, -251160, 178710
180282, 77, -348, 36, 189770, -206640, 60200
180302, 96, -271, -46, 17990, -234360, -67900
180322, 85, -276, -104, -104160, -297780, -76090
180342, 65, -321, -158, -135730, -353430, -17290
180362, 54, -368, -147, -89670, -375200, 41580
180382, 49, -491, -189, 1190, -363650, 56630
180402, 72, -627, -206, 80500, -338030, 18620
180422, 201, -953, -325, 125370, -279930, -88970
180442, 723, -1510, -381, 137690, -199220, -247100
180462, 1437, -1998, -424, 182210, -105630, -381920
180482, 655, -1894, -618, 177730, -184450, -259770
180502, 183, -1070, -49, 171920, -391020, 123690
180522, 135, -643, -38, 320810, -288540, 126000
180542, 213, -470, -134, 187740, -299460, -63910
180562, 204, -507, -250, -41580, -414890, -110250
180582, 212, -583, -314, 35210, -409710, -21070
180602, 194, -596, -260, 186410, -322700, 3640
180622, 135, -581, -101, 308910, -226660, -26530
180642, 47, -602, 24, 307370, -189350, -95830
180662, 56, -495, 18, 140280, -222670, -224000
180682, 140, -364, -82, -80080, -266210, -359730
180702, 175, -268, -140, -209440, -284200, -397250
180722, 154, -222, -145, -210770, -283570, -321440
180742, 168, -298, -215, -134330, -281190, -196210
180762, 195, -423, -254, -3710, -254660, -79520
180782, 257, -576, -204, 160160, -177170, -9520
180802, 655, -1235, -303, 285530, -88480, 20580
180822, 1545, -1998, -316, 328860, -70770, 85050
180842, 1421, -1998, -1227, 191030, -190050, 114870
180862, 804, -1291, -381, -264110, -333200, -297150
180882, 381, -527, -35, -121800, -180040, -364700
180902, 182, -381, -118, -18270, -183890, -122150
180922, 113, -303, -142, -46060, -270620, 63840
180942, 52, -254, -110, 2380, -271880, 151060
180962, 41, -214, -93, 94220, -228830, 177800
180982, 8, -175, -25, 177380, -178150, 159530
181002, -5, -165, 0, 223930, -139370, 123900
181022, -9, -162, 21, 208110, -117950, 70560
181042, -17, -199, 0, 154280, -94570, 2520
181062, 7, -255, -19, 75180, -65940, -73360
181082, 42, -341, 18, -6930, -13230, -165690
181102, 211, -491, -10, -101570, 47460, -263340
181122, 626, -672, -33, -228200, 81690, -342790
181142, 1996, -1998, -1349, -345240, 49980, -312550
181162, 711, -1998, -616, -387170, -98770, 36540
181182, 132, -1847, -160, -6720, -84280, 729610
181202, 237, -970, -434, 198940, 196560, 610820
181222, 154, -288, -47, -4480, 358750, 6510
181242, 123, -75, 54, -50960, 429730, -207830
181262, 74, -96, 2, 22470, 305480, 82250
181282, 38, -100, -25, -50190, 217770, 219800
181302, 0, -99, -25, -75390, 197540, 277760
181322, 14, -177, -71, -97790, 200760, 290920
181342, 31, -546, -119, -117460, 228830, 262570
181362, 313, -1386, 234, -188650, 274890, 145600
181382, 1996, -1998, -1997, -540050, 144480, -74900
