T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
26713, -709, 263, 765, 32550, -70420, -5600
26733, -611, 207, 757, 32410, -60200, -21140
26753, -712, 239, 817, 20370, -44800, -26740
26773, -606, 211, 836, 23170, -62790, -4130
26793, -590, 169, 816, -3290, -56070, -3780
26813, -419, 154, 824, -36540, -22330, -12110
26833, -501, 170, 840, -27790, -22260, -17850
26853, -787, -162, 930, 11900, -61460, 13510
26873, -718, 236, 1008, 18690, -83090, 47670
26893, -475, 182, 887, -10220, -58100, 24710
26913, -535, 244, 652, -30870, -30800, -14070
26933, -497, 189, 717, -47110, 560, -23310
26953, -504, 164, 808, -30100, 4550, -28700
26973, -618, 243, 945, 18830, -37730, -22190
26993, -459, 230, 946, 44800, -86030, -9800
27013, -327, 181, 746, -15890, -22190, -23030
27033, -550, 234, 645, -38850, -630, -9520
27053, -760, 128, 761, -34440, 22610, -6720
27073, -705, 212, 903, -5390, 61250, -18830
27093, -443, 114, 1126, 10640, 96390, -53970
27113, -262, 120, 707, 27230, 128310, 57680
27133, -549, 146, 717, 20300, 63770, 33320
27153, -802, 202, 749, 5040, 28700, 31850
27173, -1029, 256, 886, -3010, -2870, 20790
27193, -659, 367, 890, -12040, -44940, -20580
27213, -63, 36, 696, -32970, -51660, -76860
27233, -155, 7, 557, -24080, -43890, -41440
27253, -869, 231, 1061, -7840, -47320, 27440
27273, -955, 302, 868, -3080, -30520, 34020
27293, -352, 76, 874, -3850, 43680, -20370
