T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
9345, 534, -202, 822, 2240, 4270, 1610
9365, 529, -211, 840, 840, 11550, -700
9385, 531, -218, 864, -630, 16730, 840
9405, 524, -204, 853, -3500, 14770, 1960
9425, 514, -190, 826, -3220, 5950, -70
9445, 523, -190, 836, 3640, -6300, -1470
9465, 534, -196, 857, 4340, -3570, -2730
9485, 520, -187, 836, 4830, -5250, -4200
9505, 517, -191, 837, 3290, -3360, -3150
9525, 506, -195, 854, 1820, -2660, -1400
9545, 515, -189, 851, 1260, -4970, -2030
9565, 496, -178, 822, 840, -9940, -3080
9585, 486, -174, 810, -420, -5390, -3570
9605, 458, -169, 793, -1400, -490, -2940
9625, 431, -155, 791, -3080, -980, -700
9645, 420, -133, 764, -5110, -10290, 1540
9665, 338, -96, 740, -3500, -14210, 1540
9685, 196, -33, 532, 11480, -11200, -2660
9705, 172, 11, 423, 17990, 10360, 5250
9725, 320, -84, 491, 420, 24500, 20860
9745, 560, -273, 952, -16590, 80780, 39270
9765, 554, -299, 1095, -30800, 121660, 54250
9785, 430, -239, 1087, -24220, 85890, 52710
9805, 318, -91, 824, -5950, 24640, 28280
9825, 271, 82, 365, 9870, -28840, 2940
9845, 301, 164, 89, 9380, -28980, -8470
9865, 285, -35, 400, -24430, 51240, 6090
9885, 383, -310, 1067, -84140, 148820, 30310
9905, 288, -346, 1143, -112140, 170800, 25410
9925, 59, -287, 999, -86100, 121800, 560
9945, -89, -301, 820, -64190, 71330, -21840
9965, 26, -165, 578, -43540, 52780, -25620
9985, 447, -231, 720, -31500, 79030, -11550
10005, 388, -388, 1237, -54460, 105000, -1330
10025, 128, -457, 1128, -79730, 75740, -11900
10045, -121, -484, 722, -37800, -14700, -55230
10065, 243, -325, 368, 210, -82670, -73360
10085, 526, -413, 774, -19180, -67900, -36890
10105, 564, -558, 1225, -65800, 35630, 5600
10125, 133, -737, 1222, -98980, 134400, -12460
10145, -100, -787, 1158, -48860, 45360, -91000
10165, 4, -673, 926, -24570, 43820, -56560
10185, 291, -549, 958, -9660, 42280, -35490
10205, 230, -504, 920, -70, 52780, -47460
10225, 174, -520, 828, 30450, 21490, -70140
10245, 174, -617, 908, -21770, -41020, -52780
10265, 115, -624, 711, -61600, -15680, -42210
10285, 173, -544, 812, -66080, 69090, -58590
10305, 274, -486, 1012, -86660, 92750, -56630
10325, 193, -581, 1035, -71400, 15050, -45710
10345, 217, -582, 1164, -48580, -37590, -45360
10365, 168, -600, 1033, -38850, -18200, -33950
10385, 197, -641, 787, -45150, -11970, -21910
10405, 158, -716, 777, -55510, 3290, -5810
10425, 217, -830, 1250, -72870, 42910, 6790
10445, 289, -824, 1186, -88690, 47320, -6860
10465, 386, -735, 1072, -48020, 70, -3220
10485, 380, -714, 950, -28070, -47530, 6300
10505, 286, -772, 984, -34090, -47110, 11550
10525, 244, -892, 1153, -43120, -19600, 19040
10545, 188, -927, 989, -52570, -11410, 38710
10565, 254, -825, 852, -33110, -44450, 51940
10585, 330, -731, 839, -9800, -54320, 64680
10605, 291, -729, 745, 4760, -33670, 51310
10625, 172, -825, 767, 20020, -56210, 17850
10645, 157, -817, 904, 23940, -63140, 5460
10665, 196, -765, 931, 19390, -26460, -1540
10685, 243, -730, 780, 36540, -22330, -23310
10705, 200, -760, 727, 54530, -63630, -30380
10725, 281, -814, 750, 53550, -50050, -23310
10745, 399, -795, 772, 50050, -14070, -15260
10765, 473, -812, 585, 59850, -9450, -20230
10785, 495, -740, 388, 75530, -48440, -35210
10805, 521, -745, 306, 99050, -91000, -48090
10825, 412, -677, 158, 94430, -107590, -58870
10845, 447, -598, -32, 76860, -154210, -56980
10865, 558, -597, 290, 34090, -74900, -66710
10885, 246, -703, 790, -11690, 50610, -101990
10905, 181, -726, 747, 15820, 1680, -104440
10925, 421, -604, 581, 76580, -103670, -86940
10945, 428, -539, 650, 80990, -114030, -86310
10965, 479, -464, 770, 43750, -33180, -93940
10985, 643, -211, 605, 8890, -11340, -83440
11005, 405, 331, 666, -16800, -2870, -71680
11025, 431, -288, 1143, -101290, -9870, 31080
11045, 839, -495, 892, -116690, -38430, 140700
11065, 481, 50, 751, -10290, -8050, 26250
11085, 629, 51, 703, -2310, 45290, -41930
11105, 1119, -1108, 1016, -75320, 129150, 58520
11125, 405, -421, 845, -81060, 161350, 35560
11145, 337, -292, 571, -66360, 135590, -58240
11165, 416, -236, 485, -69650, 97440, -40950
11185, 383, -460, 696, -83580, 88900, -14420
11205, 312, -687, 1032, -95900, 100310, -6090
11225, 34, -768, 1075, -90790, 116830, -1400
11245, 38, -815, 822, -77350, 80220, 30940
11265, 148, -884, 792, -71260, 13860, 101150
11285, 192, -931, 792, -68600, 15050, 148820
11305, 317, -915, 681, -41650, 45080, 140980
11325, 384, -809, 524, -14000, 32130, 113820
11345, 207, -995, 630, -17080, -1260, 112210
11365, 122, -999, 831, -46340, 4480, 145040
11385, 241, -983, 847, -43400, 70070, 137130
11405, 303, -927, 716, 280, 96250, 102480
11425, 214, -865, 668, 14070, 34930, 67480
11445, 16, -918, 717, 9520, -27370, 46760
11465, -113, -922, 711, 2940, -25760, 36890
11485, 51, -868, 813, 4200, 28070, 51240
11505, 63, -772, 549, 14560, 106960, 60760
11525, 44, -767, 525, 30520, 104860, 49070
11545, -78, -807, 752, 26320, 68320, 39340
11565, -223, -815, 686, 9450, 9100, 9870
11585, -131, -805, 807, 17220, 3290, 8890
11605, 62, -683, 691, 31080, 20160, 5670
11625, 42, -575, 434, 45640, 12600, -12810
11645, -51, -629, 627, 32830, 14910, -18760
11665, -110, -723, 732, 12600, 10920, -23240
11685, -201, -727, 628, 28350, -17920, -25970
11705, -120, -706, 535, 33460, -20440, -5950
11725, 6, -751, 601, 25690, 8540, 16380
11745, -17, -734, 673, 13580, 35420, 22610
11765, -26, -702, 650, 9240, 12530, 15470
11785, 29, -648, 614, 8470, 2590, 14350
11805, -2, -643, 638, 7700, 9520, 8960
11825, -70, -669, 782, 2310, 21910, -770
11845, -207, -722, 733, 2940, 19600, -11830
11865, -203, -675, 607, 14350, 16940, -17150
11885, -113, -690, 680, 11130, 27580, 3010
11905, -72, -636, 655, -9450, 48370, 20860
