T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
8375, -333, -856, -164, 59220, 27230, -17570
8395, -347, -863, -158, 49770, 18130, 40880
8415, -388, -911, -181, 55090, 1260, 82670
8435, -452, -974, -204, 32410, 20160, 82950
8455, -451, -983, -214, 14770, 58870, 27300
8475, -356, -884, -154, 63280, 55930, -40670
8495, -342, -870, -153, 83440, 39270, -40390
8515, -357, -884, -158, 51590, 36190, 12950
8535, -367, -881, -162, 29540, 29890, 62440
8555, -410, -926, -178, 6860, 34230, 86590
8575, -457, -985, -210, -7840, 38920, 86520
8595, -403, -918, -174, 31010, 20580, 49140
8615, -356, -878, -151, 61460, 16240, -1890
8635, -366, -901, -156, 34230, 33320, -10290
8655, -394, -947, -173, 4550, 30380, 26880
8675, -421, -981, -183, -14630, 20790, 62440
8695, -427, -972, -190, -24640, 14980, 73780
8715, -404, -923, -176, -1680, -9870, 69300
8735, -389, -905, -167, 11550, -17850, 43540
8755, -382, -912, -163, -14000, 7980, 9170
8775, -393, -938, -170, -29750, 13300, 4060
8795, -421, -978, -184, -28840, -9240, 30310
8815, -406, -947, -176, -28700, -26810, 48510
8835, -385, -894, -165, -22610, -38850, 45850
8855, -390, -888, -171, -30730, -38500, 36540
8875, -385, -887, -168, -57190, -21000, 19250
8895, -369, -868, -159, -58870, -16660, -4130
8915, -371, -865, -161, -41230, -33950, -10500
8935, -374, -871, -166, -35490, -50400, 1260
8955, -380, -887, -166, -38220, -56000, 6790
8975, -405, -936, -181, -47460, -48930, -1050
8995, -420, -964, -192, -65870, -35840, -8750
9015, -397, -941, -180, -63070, -36540, -18760
9035, -384, -926, -171, -37380, -50120, -33530
9055, -391, -929, -176, -39830, -55720, -18270
9075, -397, -930, -181, -53900, -46900, -10780
9095, -403, -937, -185, -61250, -35700, -17710
9115, -403, -933, -187, -46480, -39480, -27160
9135, -385, -914, -176, -21000, -48930, -39620
9155, -380, -917, -173, -16730, -41580, -50890
9175, -386, -932, -175, -28980, -28700, -45500
9195, -392, -930, -183, -37100, -22960, -29680
9215, -390, -919, -182, -35350, -19740, -22470
9235, -389, -914, -181, -19320, -22330, -25060
9255, -393, -931, -182, -1470, -24150, -32620
9275, -398, -957, -187, -490, -10430, -46130
9295, -396, -963, -184, -5110, 6230, -55160
9315, -394, -952, -183, -1610, 8750, -45990
9335, -386, -923, -180, 4270, 4760, -26250
9355, -376, -890, -174, 12880, 1960, -13510
9375, -381, -893, -174, 19320, 5600, -13020
9395, -396, -922, -183, 17360, 19600, -23240
9415, -396, -940, -182, 21630, 32060, -40250
9435, -392, -951, -181, 37310, 32690, -49910
9455, -397, -965, -182, 46620, 28700, -39900
9475, -396, -957, -182, 44380, 27510, -18060
9495, -403, -952, -186, 36820, 31500, -350
9515, -411, -960, -191, 29120, 38780, 7210
9535, -404, -958, -186, 35350, 39550, 3780
9555, -388, -935, -174, 52640, 34230, -5390
9575, -372, -897, -167, 56700, 34160, -6650
9595, -368, -868, -162, 43400, 39270, 6790
9615, -382, -886, -172, 28910, 43050, 24360
9635, -402, -928, -182, 24220, 42980, 34090
9655, -402, -935, -181, 35700, 35350, 31710
9675, -377, -900, -166, 55020, 25410, 19320
9695, -366, -879, -163, 59080, 25550, 7490
9715, -376, -892, -164, 42980, 33530, 9940
9735, -395, -923, -174, 25410, 35070, 27440
9755, -405, -935, -178, 23240, 17570, 48370
9775, -389, -906, -169, 30940, 10710, 37170
9795, -366, -858, -158, 23450, 16380, 21840
9815, -352, -824, -150, 3570, 26670, 16870
9835, -352, -818, -151, -8890, 25620, 26180
9855, -372, -852, -161, -8960, 14070, 38710
9875, -397, -906, -175, -700, 1960, 38640
9895, -411, -955, -180, 7560, -2520, 21000
9915, -413, -985, -181, 2940, 5040, -3430
9935, -397, -963, -174, -13370, 15120, -14420
9955, -375, -898, -161, -24010, 9800, 350
9975, -370, -858, -161, -26460, -8610, 31640
9995, -382, -863, -167, -26740, -23520, 51870
10015, -404, -908, -178, -26320, -24710, 41160
10035, -421, -971, -187, -27300, -13160, 5040
