T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
9192, 110, -91, 1073, 13230, -17430, 21000
9212, -14, -45, 974, 3710, 980, 22400
9232, -7, -25, 1022, 5110, 17640, 18480
9252, -23, -19, 1058, 5180, 22890, 11760
9272, -36, -41, 1013, -3920, 5530, 10220
9292, -4, -93, 944, -10290, -20020, 12110
9312, 87, -52, 1099, -7210, -18970, 13860
9332, 94, -36, 1133, 0, -2170, 12460
9352, 93, -107, 1062, -10500, -10990, 19040
9372, -121, -61, 977, -18830, -23800, 24920
9392, -157, -43, 1015, -10080, -21560, 17710
9412, -227, 6, 1106, 560, -770, 5320
9432, -150, -47, 1122, 4200, 17290, -770
9452, -288, 2, 1014, -6090, 1540, 8470
9472, -373, 12, 940, -14560, -20580, 19880
9492, -257, -15, 993, -5460, -140, 3780
9512, -134, -47, 1038, 5110, 20300, -16590
9532, -22, -109, 1031, 4900, 15820, -21280
9552, -110, -61, 1023, 1610, 4970, -13090
9572, -92, -76, 1015, -350, -5670, -4550
9592, -87, -109, 965, 1540, -1890, -8610
9612, -65, -86, 1040, 7140, 8120, -13580
9632, -83, -27, 1112, 11620, 9590, -15260
9652, -100, -28, 1084, 8820, 7000, -12180
9672, -140, -31, 990, 630, 7840, -10920
9692, -67, -82, 933, -2800, 3990, -16590
9712, 19, -73, 1070, 2240, -3010, -23590
9732, -76, -55, 1010, 9030, -5110, -21420
9752, -83, -28, 1122, 5320, -2240, -12740
9772, -240, -21, 901, 210, 6160, -10780
9792, -58, -114, 892, -6370, 7070, -13160
9812, 105, -151, 1006, -770, 5320, -24080
9832, 61, -75, 1194, 5880, 3080, -25060
9852, -130, -68, 963, -210, -18130, -7210
9872, -181, -77, 823, -11130, -17990, -1260
9892, -16, -70, 979, -6580, 15820, -15330
9912, 197, -120, 1171, 12600, 59290, -33600
9932, 63, -98, 1167, -1680, -23800, -6160
9952, -147, -77, 930, -11060, -37450, 4620
9972, -193, 9, 887, 3850, -1890, -5950
9992, 79, -132, 861, 25690, 29820, -17710
10012, 144, -11, 1350, 37660, 30170, -1190
10032, 212, -130, 1180, 21910, 1330, 20020
10052, -18, -73, 871, 3500, -10150, 29120
10072, -440, 140, 600, 27160, 19880, 32900
10092, -246, 319, 1540, 70630, 79380, 14000
10112, 19, 17, 1228, 44170, 44450, 3990
10132, 271, -306, 917, -24150, -25830, 490
10152, -36, -188, 769, -21420, -35630, 3850
10172, -358, 87, 892, 15750, -9170, 8680
10192, -318, 181, 1188, 45500, 16170, -1960
10212, 94, -39, 1162, 17710, -840, -21910
10232, 132, -168, 961, -14560, -24990, -26600
10252, -105, -116, 761, -22050, -31430, -9590
10272, -251, 78, 962, -910, -19950, -1400
10292, -39, 84, 1225, 25270, 2800, -14070
10312, 72, -22, 1131, 17990, 10850, -28420
10332, 67, -111, 912, -6580, -5600, -25620
10352, -113, -36, 710, -12880, -17640, -11970
10372, -70, 130, 1203, 6370, -13860, -1540
10392, 182, -26, 1160, 27230, 4200, -15190
10412, 201, -86, 1053, 10710, -2100, -27930
10432, -28, -58, 810, -12460, -18410, -14140
10452, -235, 114, 991, -13720, -7700, 4690
10472, -8, 92, 1179, 13300, 21140, 2660
10492, 195, -33, 1151, 25970, 29890, -19320
10512, 225, -75, 1115, 3500, -2030, -24220
10532, 28, -71, 867, -18340, -24500, -13370
10552, -104, 64, 954, -21070, -18270, 1890
10572, -51, 128, 1235, 1890, 4690, -1050
10592, 99, 48, 1252, 22400, 25970, -20440
10612, 143, -60, 1040, 1750, 10500, -27370
10632, 68, -130, 749, -44660, -41230, -8400
10652, -7, -36, 758, -16170, -24150, -7700
10672, 115, 17, 1165, 19600, 3290, -22190
10692, 104, -4, 1060, 18480, 5180, -27440
10712, 222, -41, 1167, 2870, -6720, -26670
10732, 161, -83, 821, -10920, -22680, -17080
10752, 164, -37, 937, -10710, -35840, -8050
10772, 66, 30, 1013, 18830, -16730, -18970
10792, 175, 6, 1047, 32200, 2660, -31780
10812, 184, -12, 1103, 16380, 420, -27790
10832, 187, -21, 1105, -13230, -25130, -5390
10852, 118, -11, 1008, -21770, -42000, 1750
10872, 253, -88, 936, -12740, -31010, -8540
10892, 381, -110, 1048, 70, -11270, -19810
10912, 376, -67, 1205, -3780, -1260, -8050
10932, 218, -40, 1015, -18130, 210, 14910
10952, 282, -101, 887, -30030, -4550, 23800
10972, 277, -128, 746, -22400, -5320, 16660
10992, 205, -28, 910, -3360, -2450, 14910
11012, 214, -16, 1048, 13230, 4690, 18760
11032, 255, -46, 1026, 10290, 10850, 21490
11052, 308, -88, 988, 3010, 13020, 18550
11072, 197, -87, 844, 2520, 10150, 20930
11092, 189, -61, 941, 6440, 6860, 28140
11112, 144, 0, 1016, 18550, 6090, 25340
11132, 233, -42, 1005, 20650, 8050, 22610
11152, 175, -52, 916, 12320, 7910, 18970
11172, 11, -34, 806, 7840, 7210, 22120
11192, 97, -27, 1024, 16170, 6510, 24010
11212, 173, -6, 1210, 29820, 5250, 13090
11232, 206, -45, 1115, 25760, -980, 8400
11252, 139, -134, 841, -420, -22190, 15610
11272, 17, -43, 850, -14840, -24290, 25830
11292, 78, 14, 1093, 3920, -8120, 30660
11312, 75, 41, 1228, 29960, 5950, 23660
11332, 147, -26, 1032, 28210, 7140, 20230
11352, -47, 60, 991, -7490, -29260, 34650
